"Pathway"	"Total_sample_counts"
"ko00010"	38630.6388888889
"ko00020"	18238.4888888889
"ko00030"	22113.5388888889
"ko00040"	8721.52222222222
"ko00051"	23557.6888888889
"ko00052"	22051.0333333333
"ko00053"	6291.32777777778
"ko00061"	15329.1166666667
"ko00071"	8780.64444444444
"ko00072"	2980.87222222222
"ko00120"	510.55
"ko00121"	510.55
"ko00130"	7323.09444444444
"ko00140"	13.5
"ko00190"	28755.65
"ko00195"	9808.67777777778
"ko00220"	16614.5388888889
"ko00230"	71290.4888888889
"ko00232"	22.5
"ko00240"	52838.9944444444
"ko00250"	22648.55
"ko00260"	28574.3444444444
"ko00261"	5983.13888888889
"ko00270"	27935.5
"ko00280"	11329.4833333333
"ko00281"	1093.8
"ko00290"	14888.9888888889
"ko00300"	15678.5388888889
"ko00310"	6563.87777777778
"ko00311"	455.75
"ko00330"	10712.4166666667
"ko00332"	1572.44444444444
"ko00333"	3651.99444444444
"ko00340"	12611.5944444444
"ko00350"	5527.51666666667
"ko00360"	4450.13888888889
"ko00361"	1283.32222222222
"ko00362"	5461.54444444444
"ko00364"	178.5
"ko00365"	144
"ko00380"	5957.19444444444
"ko00400"	22934.3
"ko00401"	2760.69444444444
"ko00404"	66.75
"ko00405"	2476.29444444444
"ko00410"	4366.15
"ko00430"	4855.93888888889
"ko00440"	1527.27222222222
"ko00450"	8626.72777777778
"ko00460"	4475.56666666667
"ko00471"	3780.81666666667
"ko00472"	485.577777777778
"ko00473"	5293.93888888889
"ko00480"	9557.68333333333
"ko00500"	27762.25
"ko00510"	169.25
"ko00511"	2896.97222222222
"ko00513"	446.5
"ko00514"	214.5
"ko00515"	214.5
"ko00520"	40127.8944444444
"ko00521"	6239.13333333333
"ko00523"	2079.66666666667
"ko00524"	1356.77222222222
"ko00525"	1065.44444444444
"ko00531"	753
"ko00540"	2480.25
"ko00550"	25564.7222222222
"ko00561"	15125.6277777778
"ko00562"	3855.29444444444
"ko00564"	16338.0722222222
"ko00565"	870.8
"ko00571"	1287
"ko00572"	1950.27222222222
"ko00590"	1802.79444444444
"ko00591"	177.75
"ko00592"	723.55
"ko00600"	1627.72222222222
"ko00603"	594.75
"ko00604"	446.5
"ko00620"	37323.4333333333
"ko00621"	924.122222222222
"ko00622"	1961.44444444444
"ko00623"	133.5
"ko00624"	22.5
"ko00625"	4171.99444444444
"ko00626"	2607.34444444444
"ko00627"	2558.83888888889
"ko00630"	19711.7222222222
"ko00633"	693
"ko00640"	21932.2055555556
"ko00642"	612.55
"ko00643"	1913.16666666667
"ko00650"	18234.1111111111
"ko00660"	10048.0555555556
"ko00670"	13518.9722222222
"ko00680"	19419.8444444444
"ko00710"	13159.5777777778
"ko00720"	23769.2166666667
"ko00730"	11721.6333333333
"ko00740"	6749.09444444444
"ko00750"	5696.7
"ko00760"	11833.6555555556
"ko00770"	17466.4666666667
"ko00780"	9984.03888888889
"ko00785"	2700.17222222222
"ko00790"	20369.5611111111
"ko00791"	2393.31666666667
"ko00830"	1698.85
"ko00860"	14535.3
"ko00900"	12976.3777777778
"ko00903"	1790.9
"ko00906"	2376.5
"ko00908"	1223.27222222222
"ko00909"	36
"ko00910"	9781.23888888889
"ko00920"	12052.5166666667
"ko00930"	460.25
"ko00940"	840.75
"ko00950"	231.75
"ko00960"	2217.22222222222
"ko00965"	111
"ko00966"	1223.27222222222
"ko00970"	92986.4055555556
"ko00980"	2604.35
"ko00981"	1443.15
"ko00982"	2635.85
"ko00983"	11373.9722222222
"ko00984"	205
"ko00999"	1788.24444444444
"ko01040"	2679.42222222222
"ko01051"	1882.02222222222
"ko01053"	1404.3
"ko01054"	120
"ko01055"	532.722222222222
"ko01062"	45
"ko01100"	512921.766666667
"ko01110"	236328.227777778
"ko01120"	140733.444444444
"ko01130"	179868.5
"ko01200"	80138.5722222222
"ko01210"	22363.2166666667
"ko01212"	17640.8722222222
"ko01220"	5534.03888888889
"ko01230"	115146.616666667
"ko01501"	15287.4888888889
"ko01502"	7521.57777777778
"ko01503"	11777.0333333333
"ko01523"	6183.11111111111
"ko01524"	2655.43888888889
"ko02010"	102342.777777778
"ko02020"	69075.1611111111
"ko02024"	64488.9944444444
"ko02025"	5713.18333333333
"ko02026"	9087.76111111111
"ko02030"	4599.5
"ko02040"	6711
"ko02060"	34687.8388888889
"ko03008"	1446.27222222222
"ko03010"	82374.3333333333
"ko03013"	1950.04444444444
"ko03018"	15464.3666666667
"ko03020"	5768.36111111111
"ko03022"	214.5
"ko03030"	20005.4055555556
"ko03050"	214.5
"ko03060"	18552.4
"ko03070"	18826.9833333333
"ko03320"	2637.6
"ko03410"	12940.1666666667
"ko03420"	9645.93333333333
"ko03430"	21994
"ko03440"	25945.3666666667
"ko03450"	352.75
"ko04011"	844.8
"ko04013"	1844.82222222222
"ko04016"	3532.76111111111
"ko04066"	4482.13888888889
"ko04068"	3006.62222222222
"ko04070"	2868.44444444444
"ko04071"	205
"ko04072"	200.25
"ko04080"	111.75
"ko04112"	12312.2222222222
"ko04113"	394.75
"ko04115"	152.25
"ko04122"	8260.08888888889
"ko04141"	367.027777777778
"ko04142"	849.25
"ko04144"	221.9
"ko04146"	6266.46666666667
"ko04151"	517.25
"ko04152"	1526.02222222222
"ko04210"	255
"ko04211"	2689.62222222222
"ko04212"	7205.13333333333
"ko04213"	4076.42222222222
"ko04214"	1225.99444444444
"ko04215"	152.25
"ko04216"	1811.45
"ko04217"	3353.66111111111
"ko04260"	245.25
"ko04612"	200.25
"ko04614"	142.5
"ko04621"	2237.43888888889
"ko04622"	425.5
"ko04626"	1954.3
"ko04657"	200.25
"ko04659"	200.25
"ko04714"	2698.15
"ko04724"	1638.02222222222
"ko04726"	31.5
"ko04727"	1638.02222222222
"ko04728"	31.5
"ko04910"	1372.91666666667
"ko04914"	200.25
"ko04915"	200.25
"ko04917"	578.222222222222
"ko04918"	2256.76666666667
"ko04919"	510.55
"ko04920"	1346.3
"ko04922"	7621.35
"ko04924"	66.75
"ko04930"	1392.52222222222
"ko04931"	2498.93888888889
"ko04932"	397.5
"ko04934"	814.3
"ko04940"	1451.27222222222
"ko04964"	472.25
"ko04973"	519.972222222222
"ko04974"	66.75
"ko04978"	347.15
"ko04979"	111.75
"ko05010"	2220.82222222222
"ko05012"	397.5
"ko05014"	1197.3
"ko05016"	2442.57222222222
"ko05020"	200.25
"ko05030"	31.5
"ko05031"	31.5
"ko05034"	31.5
"ko05100"	815.894444444444
"ko05110"	243.75
"ko05111"	10316.7277777778
"ko05120"	2055.26666666667
"ko05132"	1200.05
"ko05133"	949.5
"ko05134"	4014.59444444444
"ko05142"	414.75
"ko05143"	348
"ko05145"	152.25
"ko05146"	679.8
"ko05150"	19136.5
"ko05152"	4735.51111111111
"ko05161"	152.25
"ko05163"	152.25
"ko05164"	152.25
"ko05165"	1392.52222222222
"ko05166"	111.75
"ko05167"	152.25
"ko05168"	152.25
"ko05170"	152.25
"ko05200"	2482.74444444444
"ko05203"	1392.52222222222
"ko05204"	1132.5
"ko05205"	1120.77222222222
"ko05206"	1684.67777777778
"ko05210"	152.25
"ko05211"	814.3
"ko05215"	200.25
"ko05219"	66.75
"ko05222"	152.25
"ko05225"	1315.94444444444
"ko05230"	6928.21111111111
"ko05231"	244.5
"ko05322"	22.5
"ko05340"	1452.24444444444
"ko05410"	66.75
"ko05416"	152.25
"ko05418"	4339.15555555556
