"Pathway"	"Total_sample_counts"
"ko00010"	1908.25
"ko00020"	1355.25
"ko00030"	808.625
"ko00040"	405.375
"ko00051"	575.875
"ko00052"	351.375
"ko00053"	324.25
"ko00061"	1342.75
"ko00071"	1103.625
"ko00072"	411.5
"ko00100"	33.25
"ko00130"	515.5
"ko00190"	2149.5
"ko00195"	449
"ko00220"	742.125
"ko00230"	2997.5
"ko00240"	2313.625
"ko00250"	1182.875
"ko00260"	1625.5
"ko00261"	403.25
"ko00270"	1900
"ko00280"	1486.125
"ko00281"	212
"ko00290"	796.125
"ko00300"	775.375
"ko00310"	644.25
"ko00330"	1409.25
"ko00332"	112.25
"ko00333"	492.625
"ko00340"	906.25
"ko00350"	746.125
"ko00360"	1101.5
"ko00361"	166.25
"ko00362"	1290.625
"ko00364"	66.5
"ko00380"	889.5
"ko00400"	1265.875
"ko00401"	201.625
"ko00405"	56.125
"ko00410"	536.25
"ko00430"	291
"ko00440"	22.875
"ko00450"	548.75
"ko00460"	135.125
"ko00471"	168.375
"ko00472"	33.25
"ko00473"	145.5
"ko00480"	303.5
"ko00500"	650.875
"ko00520"	858.625
"ko00521"	135.125
"ko00524"	22.875
"ko00540"	33.25
"ko00550"	1390.625
"ko00561"	648.5
"ko00562"	135.125
"ko00564"	1143.25
"ko00572"	56.125
"ko00590"	56.125
"ko00592"	89.375
"ko00620"	2708.375
"ko00621"	222.375
"ko00622"	355.375
"ko00623"	99.75
"ko00625"	457.25
"ko00626"	168.375
"ko00627"	278.5
"ko00630"	2047.375
"ko00640"	1669.125
"ko00642"	89.375
"ko00643"	299.25
"ko00650"	1642
"ko00660"	515.5
"ko00670"	696.375
"ko00680"	918.75
"ko00710"	683.875
"ko00720"	1870.75
"ko00730"	898
"ko00740"	536.25
"ko00750"	257.75
"ko00760"	673.5
"ko00770"	1031
"ko00780"	885.5
"ko00785"	145.5
"ko00790"	962.375
"ko00830"	112.25
"ko00860"	2053.75
"ko00900"	862.625
"ko00903"	288.875
"ko00906"	45.75
"ko00908"	56.125
"ko00909"	33.25
"ko00910"	459.375
"ko00920"	829.375
"ko00930"	66.5
"ko00940"	45.75
"ko00950"	56.125
"ko00960"	201.625
"ko00965"	22.875
"ko00966"	56.125
"ko00970"	5924.25
"ko00980"	112.25
"ko00981"	255.625
"ko00982"	112.25
"ko00983"	449
"ko00999"	56.125
"ko01040"	380.375
"ko01051"	56.125
"ko01053"	56.125
"ko01054"	33.25
"ko01062"	22.875
"ko01100"	29606.625
"ko01110"	14461.375
"ko01120"	9711
"ko01130"	10306
"ko01200"	4940.875
"ko01210"	1324.125
"ko01212"	1777.125
"ko01220"	1022.5
"ko01230"	6119.75
"ko01501"	515.5
"ko01502"	336.75
"ko01503"	291
"ko01523"	280.625
"ko01524"	56.125
"ko02010"	6075.625
"ko02020"	4466.875
"ko02024"	3909.625
"ko02025"	280.625
"ko02026"	338.875
"ko02030"	1781.375
"ko02040"	1862.5
"ko02060"	343.125
"ko03008"	56.125
"ko03010"	4379.875
"ko03013"	145.5
"ko03018"	819
"ko03020"	280.625
"ko03030"	1008.125
"ko03060"	1031
"ko03070"	862.625
"ko03320"	301.375
"ko03410"	604.875
"ko03420"	561.25
"ko03430"	1155.75
"ko03440"	1178.625
"ko03450"	66.5
"ko04011"	199.5
"ko04013"	79
"ko04016"	311.75
"ko04066"	347.125
"ko04068"	278.5
"ko04070"	112.25
"ko04112"	773.25
"ko04122"	592.375
"ko04138"	33.25
"ko04141"	56.125
"ko04146"	725.375
"ko04152"	56.125
"ko04211"	278.5
"ko04212"	446.875
"ko04213"	390.75
"ko04214"	56.125
"ko04216"	245.25
"ko04217"	101.875
"ko04621"	178.75
"ko04626"	178.75
"ko04714"	390.75
"ko04724"	79
"ko04727"	79
"ko04910"	56.125
"ko04918"	56.125
"ko04920"	245.25
"ko04922"	280.625
"ko04930"	56.125
"ko04931"	45.75
"ko04934"	33.25
"ko04940"	56.125
"ko04973"	22.875
"ko04978"	56.125
"ko05010"	112.25
"ko05014"	255.625
"ko05016"	135.125
"ko05020"	56.125
"ko05111"	571.625
"ko05120"	101.875
"ko05132"	189.125
"ko05134"	291
"ko05146"	56.125
"ko05152"	201.625
"ko05165"	56.125
"ko05200"	33.25
"ko05203"	56.125
"ko05204"	56.125
"ko05205"	56.125
"ko05206"	22.875
"ko05211"	33.25
"ko05230"	313.875
"ko05231"	22.875
"ko05340"	56.125
"ko05418"	112.25
