"Pathway"	"Total_sample_counts"
"ko00010"	118013.899422799
"ko00020"	28328.2401154401
"ko00030"	83570.0473304473
"ko00040"	38769.8014430014
"ko00051"	143642.391919192
"ko00052"	106241.891341991
"ko00053"	22924.3025974026
"ko00061"	49501.1401154401
"ko00071"	28185.7588744589
"ko00072"	4252.19220779221
"ko00120"	3764.9886002886
"ko00121"	4280.41717171717
"ko00130"	16433.0227994228
"ko00140"	2239.56998556999
"ko00190"	93677.0832611833
"ko00195"	30848.2135642136
"ko00220"	47520.3686868687
"ko00230"	248459.044588745
"ko00240"	193476.174458874
"ko00250"	95639.016017316
"ko00260"	68547.9454545455
"ko00261"	20047.133044733
"ko00270"	93268.4444444445
"ko00280"	29142.1207792208
"ko00281"	3244.20779220779
"ko00290"	20245.602020202
"ko00300"	43253.7617604618
"ko00310"	12564.8748917749
"ko00311"	6020.01111111111
"ko00330"	49162.2473304473
"ko00332"	7712.05339105339
"ko00333"	13192.756998557
"ko00340"	19198.7531024531
"ko00350"	17798.8438672439
"ko00360"	18633.6101010101
"ko00361"	4090.52987012987
"ko00362"	12986.1621933622
"ko00364"	1200.12987012987
"ko00380"	11983.6212121212
"ko00400"	49717.2406926407
"ko00401"	6940.22106782107
"ko00405"	1415.82481962482
"ko00410"	17652.158008658
"ko00430"	17152.911976912
"ko00440"	5946.9645021645
"ko00450"	35852.5974025974
"ko00460"	17455.9347763348
"ko00471"	18867.3797979798
"ko00472"	41.7142857142857
"ko00473"	14818.1261183261
"ko00480"	35729.6258297258
"ko00500"	141124.767965368
"ko00510"	239.211111111111
"ko00511"	44800.0705627706
"ko00513"	5982.96767676768
"ko00520"	204243.101443001
"ko00521"	30183.7382395382
"ko00523"	15831.8292929293
"ko00524"	4194.17301587302
"ko00525"	8637.76608946609
"ko00531"	31446.2784992785
"ko00540"	22838.8561327561
"ko00550"	89953.2174603175
"ko00561"	60801.1105339105
"ko00562"	25673.9242424242
"ko00564"	88675.8518037518
"ko00565"	3616.81558441558
"ko00572"	726.415584415584
"ko00590"	7431.127994228
"ko00591"	726.415584415584
"ko00592"	2179.24675324675
"ko00600"	28828.9998556999
"ko00601"	145.6
"ko00603"	13039.2245310245
"ko00604"	5982.96767676768
"ko00620"	114452.122799423
