OTUID,AQ993,AQ996,AQ840,AQ1332,AQ190,AQ421,AQ423,AQ422,AQ733,AQ1409,AQ500,AQ501,AQ1097,AQ1098,AQ1099,AQ1279,AQ889,AQ1461,AQ1463,AQ1462,AQ1464,AQ1515,AQ1514,AQ1516,AQ1513,AQ891,AQ892,AQ707,AQ1074,AQ1072,AQ1073,AQ1071,AQ397,AQ395,AQ605,AQ604,AQ1202,AQ1204,AQ1539,AQ1334,AQ1331,AQ1333,AQ944,AQ943,AQ941,AQ164,AQ1230,AQ1542,AQ1540,AQ1541,AQ1305,AQ1306,AQ1307,AQ1308,AQ112,AQ1047,AQ1045,AQ1227,AQ1228,AQ1176,AQ60,AQ1178,AQ967,AQ968,AQ969,AQ631,AQ1149,AQ1490,AQ1360,AQ138,AQ1021,AQ1020,AQ1022,AQ1150,AQ1489,AQ1488,AQ838,AQ839,AQ837,AQ1019,AQ656,AQ1177,AQ1126,AQ1357,AQ1359,AQ1358,AQ812,AQ1229,AQ785,AQ786,AQ1436,AQ1437,AQ1435,AQ1438,AQ34,AQ863,AQ865,AQ866,AQ1281,AQ1280,AQ1282,AQ681,AQ449,AQ1100,AQ1125,AQ1383,AQ1384,AQ1385,AQ1386,AQ1410,AQ1411,AQ1412,AQ1256,AQ1254,AQ1255,AQ1253
otu_528421,0,0,0,0,0,0,14,0,0,0,0,1,0,0,12,0,0,0,11,3,0,25,0,0,0,3,0,0,0,0,15,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,51,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,22,0,0,11,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
otu_351976,0,0,90,0,989,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,31,27,15,7,0,287,0,0,10,0,0,67,33,0,0,0,0,0,0,0,859,0,0,0,22,0,9,0,0,366,0,0,0,0,0,90,1,0,102,0,0,0,0,0,4,0,0,0,8,0,0,0,224,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,123,0,30,104,0,0,0,0,0,0,0,0,16,0,1,394,0,0,0,0,0,0
otu_941487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_9510,1,145,189,968,354,6,2,0,8,0,5,465,0,451,0,1,4,0,4,38,95,0,47,7,2,1,513,2,23,2,0,0,0,644,1,2,324,292,0,26,4,0,7,3,2,611,116,21,159,3,1,20,2,62,1416,1,0,0,296,238,14,39,20,87,4,95,6,1009,1510,40,7,278,79,323,0,371,1,2,62,0,0,4,37,0,0,440,0,2,10,0,84,8,2,128,784,7,3,182,0,305,536,403,0,29,1,0,68,0,1350,2799,0,218,104,12,0,0
otu_160015,0,4,2,17,5,1,0,0,0,0,0,19,0,3,0,0,0,0,0,0,3,0,0,0,0,1,13,0,0,0,0,0,0,18,2,0,6,7,0,0,0,1,0,0,1,14,4,2,2,0,0,2,0,2,28,0,0,0,4,4,1,0,1,3,1,1,0,16,12,0,1,5,4,9,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,23,0,0,3,0,1,9,12,0,1,0,1,4,0,24,28,0,0,1,0,0,0
otu_544313,2,0,0,0,0,0,0,0,6,0,2,3,0,0,0,3,0,0,1,1,0,2,1,0,0,6,26,0,0,0,0,0,0,0,1,2964,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,16,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,19,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu_792393,0,2,0,0,0,0,6,0,0,0,0,37,0,0,19,0,0,0,48,0,3,11,0,1,1,81,0,0,0,0,12,0,0,0,153,0,0,0,0,0,1,0,0,3,0,0,3,1,0,24,0,2,12,0,0,21,0,0,0,0,0,2,0,0,22,11,0,1,0,0,32,0,0,0,0,0,0,8,0,0,0,16,0,0,31,0,0,9,0,0,2,40,0,0,1,0,14,0,2,0,0,0,0,0,1,0,0,6,0,0,41,1,0,0,2,0
otu_New.0.CleanUp.ReferenceOTU38474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
