OTUID,AQ993,AQ996,AQ840,AQ1332,AQ190,AQ421,AQ423,AQ422,AQ733,AQ1409,AQ500,AQ501,AQ1097,AQ1098,AQ1099,AQ1279,AQ889,AQ1461,AQ1463,AQ1462,AQ1464,AQ1515,AQ1514,AQ1516,AQ1513,AQ891,AQ892,AQ707,AQ1074,AQ1072,AQ1073,AQ1071,AQ397,AQ395,AQ605,AQ604,AQ1202,AQ1204,AQ1539,AQ1334,AQ1331,AQ1333,AQ944,AQ943,AQ941,AQ164,AQ1230,AQ1542,AQ1540,AQ1541,AQ1305,AQ1306,AQ1307,AQ1308,AQ112,AQ1047,AQ1045,AQ1227,AQ1228,AQ1176,AQ60,AQ1178,AQ967,AQ968,AQ969,AQ631,AQ1149,AQ1490,AQ1360,AQ138,AQ1021,AQ1020,AQ1022,AQ1150,AQ1489,AQ1488,AQ838,AQ839,AQ837,AQ1019,AQ656,AQ1177,AQ1126,AQ1357,AQ1359,AQ1358,AQ812,AQ1229,AQ785,AQ786,AQ1436,AQ1437,AQ1435,AQ1438,AQ34,AQ863,AQ865,AQ866,AQ1281,AQ1280,AQ1282,AQ681,AQ449,AQ1100,AQ1125,AQ1383,AQ1384,AQ1385,AQ1386,AQ1410,AQ1411,AQ1412,AQ1256,AQ1254,AQ1255,AQ1253
otu_1084157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_585419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_1060029,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu_542066,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,4,2,0,1,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,9,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,2,4,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
otu_435928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_1101451,1,5,0,0,0,0,1,0,1,0,0,0,0,0,4,0,4,1,0,15,0,0,0,0,0,0,1,1,1,0,0,0,0,2,22,3,1,0,1,0,4,0,1,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,2,0,0,1,1,0,20,2,0,1,9,0,0,0,0,0,0,2,0,1,0,4,1,0,0,0,0,2,0,0,3,1,0,0,1,2,1,0,0,0,4,2,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0
otu_988314,2,2,1,0,2,0,1,2,13,0,6,18,0,1,2,5,1,3,0,22,3,1,0,2,5,0,1,8,5,0,0,0,0,7,59,4,8,0,8,0,4,0,4,0,0,1,2,77,0,0,0,5,0,2,0,0,0,9,0,12,0,3,0,0,0,54,3,1,1,13,0,0,8,0,0,10,5,0,0,2,5,0,0,1,0,11,7,0,3,0,2,0,1,2,6,3,7,0,0,1,2,1,0,1,0,1,0,1,1,1,0,5,0,0,0,5
otu_813945,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,10,51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,5,3,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
otu_1108289,0,0,0,0,5,0,2,8,2,0,0,2,1,2,0,0,2,3,1,0,1,0,7,8,0,1,5,0,33,0,2,0,0,1,6,137,3,3,2,2,0,0,18,0,0,6,0,1,0,0,0,1,0,1,0,0,1,3,1,1,2,0,3,2,0,3,1,0,0,1,0,0,2,9,0,2,0,1,4,1,1,1,0,0,0,2,2,0,0,18,47,0,0,1,0,4,4,19,0,3,1,13,0,12,0,1,0,0,0,0,0,6,0,1,0,2
otu_974121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,6,34,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,49,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
