OTU,Total_sample_counts
otu_820978,1862
otu_609982,1540
otu_364926,617
otu_1111294,3608
otu_334459,103
otu_551969,247
otu_262095,1492
otu_583656,337
otu_367535,1095
otu_1654477,32706
otu_540982,4324
otu_337083,30493
otu_308081,466
otu_308309,444
otu_4385756,286
otu_902334,344
otu_351979,8315
otu_768553,292
otu_529652,635
otu_291844,405
otu_712677,1996
otu_828483,28713
otu_535375,728
otu_572889,30739
otu_359750,665
otu_533373,234
otu_New.0.ReferenceOTU179,949
otu_New.0.ReferenceOTU745,603
otu_New.0.CleanUp.ReferenceOTU1621,142
otu_New.0.CleanUp.ReferenceOTU15269,113
otu_New.0.CleanUp.ReferenceOTU19193,9226
otu_New.0.CleanUp.ReferenceOTU22635,196
otu_New.0.CleanUp.ReferenceOTU43340,194
otu_New.0.CleanUp.ReferenceOTU50341,215
otu_New.0.CleanUp.ReferenceOTU104626,244
otu_New.0.CleanUp.ReferenceOTU108577,204
otu_New.0.CleanUp.ReferenceOTU111477,237
otu_New.0.CleanUp.ReferenceOTU116380,185
otu_New.0.CleanUp.ReferenceOTU125389,196
otu_New.0.CleanUp.ReferenceOTU138349,196
otu_New.1.ReferenceOTU260,191
otu_New.1.ReferenceOTU183,3486
