"Pathway"	"Total_sample_counts"
"ko00010"	998934.797619048
"ko00020"	869789.107142857
"ko00030"	776228.309523809
"ko00040"	341136.94047619
"ko00051"	441541.541666667
"ko00052"	421143.886904762
"ko00053"	257036.523809524
"ko00061"	755856.392857143
"ko00071"	785441.488095238
"ko00072"	367210.297619048
"ko00100"	788
"ko00120"	28871.0476190476
"ko00121"	10180.2142857143
"ko00130"	367166.773809524
"ko00140"	49363.625
"ko00190"	1886749.875
"ko00195"	317115.130952381
"ko00220"	594239.404761905
"ko00230"	2283753.98214286
"ko00232"	696
"ko00240"	1611825.97619048
"ko00250"	911784.452380952
"ko00253"	305.375
"ko00260"	1145142.4702381
"ko00261"	247598.327380952
"ko00270"	1141948.26785714
"ko00280"	1223361.66666667
"ko00281"	285532.273809524
"ko00290"	634844.470238095
"ko00300"	526539.916666667
"ko00310"	542479.922619048
"ko00311"	73913.2916666667
"ko00330"	708978.083333333
"ko00332"	72982.3452380952
"ko00333"	248742.69047619
"ko00340"	564196.101190476
"ko00350"	515187.642857143
"ko00360"	774785.029761905
"ko00361"	165607.166666667
"ko00362"	965501.619047619
"ko00363"	2319.875
"ko00364"	89124.4166666667
"ko00365"	87596.0833333333
"ko00380"	704533.666666667
"ko00400"	858982.255952381
"ko00401"	153994.904761905
"ko00404"	63770.9583333333
"ko00405"	101783.089285714
"ko00410"	435029.238095238
"ko00430"	150477.154761905
"ko00440"	111606.041666667
"ko00450"	378858.732142857
"ko00460"	264227.571428571
"ko00471"	139685.035714286
"ko00472"	31395.4583333333
"ko00473"	89244.3095238095
"ko00480"	861689.535714286
"ko00500"	626806.982142857
"ko00510"	20598.9166666667
"ko00511"	70476.2619047619
"ko00513"	17187.1666666667
"ko00514"	8058.75
"ko00515"	8058.75
"ko00520"	1079583.35714286
"ko00521"	289758.81547619
"ko00523"	133371.886904762
"ko00524"	65830.8333333333
"ko00525"	67872.2202380952
"ko00531"	56553.4702380952
"ko00540"	437653.476190476
"ko00550"	750083.291666667
"ko00561"	297884.755952381
"ko00562"	183682.607142857
"ko00564"	648173.726190476
"ko00565"	30862.7083333333
"ko00571"	14902.1666666667
"ko00572"	11213.4642857143
"ko00590"	93155.25
"ko00591"	31020.3333333333
"ko00592"	59110.8035714286
"ko00600"	54319.4166666667
"ko00603"	20336.875
"ko00604"	16676
"ko00620"	1467203.95833333
"ko00621"	155317.922619048
