"Pathway"	"Total_sample_counts"
"ko00010"	19173.8261904762
"ko00020"	16236.1678571429
"ko00030"	10248.5761904762
"ko00040"	3561.77380952381
"ko00051"	6764.00119047619
"ko00052"	5515.32857142857
"ko00053"	2703.6869047619
"ko00061"	10165.4035714286
"ko00071"	14898.9071428571
"ko00072"	7198.95119047619
"ko00100"	4
"ko00120"	558.339285714286
"ko00121"	572.339285714286
"ko00130"	6446.89642857143
"ko00140"	815.803571428571
"ko00190"	30256.3107142857
"ko00195"	6094.00952380952
"ko00220"	9491.8119047619
"ko00230"	41746.8214285714
"ko00240"	28587.6952380952
"ko00250"	17564.825
"ko00260"	20205.9226190476
"ko00261"	5114.0869047619
"ko00270"	18534.1738095238
"ko00280"	23705.655952381
"ko00281"	3546.80714285714
"ko00290"	9970.49285714286
"ko00300"	10188.4833333333
"ko00310"	11138.844047619
"ko00311"	1153
"ko00330"	12061.3476190476
"ko00332"	1637.76904761905
"ko00333"	2847.74404761905
"ko00340"	8797.95833333333
"ko00350"	8015.07976190476
"ko00360"	10577.9178571429
"ko00361"	2169.71428571429
"ko00362"	11151.0845238095
"ko00364"	1566.7619047619
"ko00380"	11072.4607142857
"ko00400"	13628.2023809524
"ko00401"	2103.35119047619
"ko00404"	328
"ko00405"	1344.00714285714
"ko00410"	6952.51904761905
"ko00430"	3970.67142857143
"ko00440"	1080.30119047619
"ko00450"	6735.27738095238
"ko00460"	2493.61071428571
"ko00471"	2805.32380952381
"ko00472"	454.866666666667
"ko00473"	1825.52380952381
"ko00480"	11459.9142857143
"ko00500"	6410.875
"ko00510"	328
"ko00511"	636.775
"ko00513"	305.725
"ko00514"	328
"ko00515"	328
"ko00520"	16608.8571428571
"ko00521"	2579.0880952381
"ko00523"	723.02380952381
"ko00524"	383.928571428571
"ko00525"	498.892857142857
"ko00531"	1024.84761904762
"ko00540"	5482.55952380952
"ko00550"	12726.5964285714
"ko00561"	4616.81785714286
"ko00562"	3610.42142857143
"ko00564"	10420.2535714286
"ko00565"	386.747619047619
"ko00572"	102.961904761905
"ko00590"	961.846428571429
"ko00591"	408.128571428571
"ko00592"	687.37380952381
"ko00600"	688.653571428571
"ko00603"	444.125
"ko00604"	305.725
"ko00620"	28305.4202380952
"ko00621"	107.428571428571
"ko00622"	872.761904761905
"ko00623"	2052.71428571429
"ko00624"	219.666666666667
"ko00625"	3345.82380952381
"ko00626"	2032.30595238095
"ko00627"	3260.85238095238
"ko00630"	25422.0488095238
"ko00633"	886.978571428571
"ko00640"	23784.3380952381
"ko00642"	423.292857142857
"ko00643"	1619.9869047619
"ko00650"	22198.7071428571
"ko00660"	6508.85595238095
