OTU,Total_sample_counts
otu_820978,1862
otu_609982,1540
otu_364926,617
otu_592628,292
otu_554339,11
otu_592832,24
otu_1111294,3608
otu_589691,18
otu_334459,103
otu_551969,247
otu_262095,1492
otu_583656,337
otu_367535,1095
otu_589754,120
otu_818181,60
otu_1654477,32706
otu_540982,4324
otu_337083,30493
otu_528421,384
otu_547396,60
otu_308081,466
otu_1866742,82
otu_566062,77
otu_308309,444
otu_4385756,286
otu_833317,187
otu_132837,1836
otu_590218,131
otu_902334,344
otu_351979,8315
otu_351976,932
otu_941487,233
otu_9510,19647
otu_768553,292
otu_529652,635
otu_160015,467
otu_291844,405
otu_591748,78
otu_712677,1996
otu_828483,28713
otu_156109,1083
otu_535375,728
otu_571320,336
otu_1078248,51
otu_544680,2613
otu_572889,30739
otu_359750,665
otu_544313,488
otu_593997,49
otu_582018,12
otu_593489,52
otu_350697,4961
otu_4360168,97
otu_562010,20
otu_533373,234
otu_1051517,183
otu_564704,91
otu_792393,929
otu_833645,266
otu_706432,749
otu_New.0.ReferenceOTU246,132
otu_New.0.ReferenceOTU584,40
otu_New.0.ReferenceOTU174,598
otu_New.0.ReferenceOTU570,25
otu_New.0.ReferenceOTU782,38
otu_New.0.ReferenceOTU392,417
otu_New.0.ReferenceOTU179,949
otu_New.0.ReferenceOTU138,450
otu_New.0.ReferenceOTU727,318
otu_New.0.ReferenceOTU791,14388
otu_New.0.ReferenceOTU107,12
otu_New.0.ReferenceOTU453,213
otu_New.0.ReferenceOTU678,239
otu_New.0.ReferenceOTU41,294
otu_New.0.ReferenceOTU325,64
otu_New.0.ReferenceOTU739,211
otu_New.0.ReferenceOTU103,188
otu_New.0.ReferenceOTU745,603
otu_New.0.ReferenceOTU111,36
otu_New.0.ReferenceOTU168,64
otu_New.0.ReferenceOTU167,23
otu_New.0.ReferenceOTU161,141
otu_New.0.CleanUp.ReferenceOTU1621,142
otu_New.0.CleanUp.ReferenceOTU5129,33
otu_New.0.CleanUp.ReferenceOTU14180,22
otu_New.0.CleanUp.ReferenceOTU15269,113
otu_New.0.CleanUp.ReferenceOTU16366,442
otu_New.0.CleanUp.ReferenceOTU19193,9226
otu_New.0.CleanUp.ReferenceOTU20164,141
otu_New.0.CleanUp.ReferenceOTU22635,196
otu_New.0.CleanUp.ReferenceOTU38474,531
otu_New.0.CleanUp.ReferenceOTU43340,194
otu_New.0.CleanUp.ReferenceOTU50341,215
otu_New.0.CleanUp.ReferenceOTU100929,42
otu_New.0.CleanUp.ReferenceOTU104626,244
otu_New.0.CleanUp.ReferenceOTU108577,204
otu_New.0.CleanUp.ReferenceOTU111477,237
otu_New.0.CleanUp.ReferenceOTU116380,185
otu_New.0.CleanUp.ReferenceOTU121922,19
otu_New.0.CleanUp.ReferenceOTU125389,196
otu_New.0.CleanUp.ReferenceOTU131470,714
otu_New.0.CleanUp.ReferenceOTU136263,19
otu_New.0.CleanUp.ReferenceOTU138349,196
otu_New.0.CleanUp.ReferenceOTU139618,34
otu_New.1.ReferenceOTU260,191
otu_New.1.ReferenceOTU264,67
otu_New.1.ReferenceOTU183,3486
