OTU,Total_sample_counts
otu_538602,488
otu_592628,127
otu_593997,30
otu_592832,57
otu_27938,145
otu_739614,733
otu_593489,28
otu_1101488,74
otu_1051517,66
otu_588659,45
otu_833645,32
otu_589754,71
otu_706432,360
otu_New.0.ReferenceOTU246,78
otu_New.0.ReferenceOTU584,93
otu_New.0.ReferenceOTU827,75
otu_New.0.ReferenceOTU176,22
otu_New.0.ReferenceOTU782,60
otu_New.0.ReferenceOTU453,520
otu_209511,268
otu_566062,39
otu_New.0.ReferenceOTU41,681
otu_New.0.ReferenceOTU43,25407
otu_1082059,328
otu_New.0.ReferenceOTU325,139
otu_New.0.ReferenceOTU739,135
otu_New.0.ReferenceOTU34,31
otu_New.0.ReferenceOTU103,340
otu_New.0.ReferenceOTU111,76
otu_New.0.ReferenceOTU168,29
otu_1107011,398
otu_New.0.CleanUp.ReferenceOTU14180,44
otu_1044436,152
otu_1007180,41
otu_New.0.CleanUp.ReferenceOTU20164,62
otu_580411,84
otu_156357,7483
otu_1020605,38
otu_176420,99
otu_889025,163
otu_New.0.CleanUp.ReferenceOTU139618,171
otu_New.0.CleanUp.ReferenceOTU139868,138
otu_New.1.ReferenceOTU264,333
otu_New.1.CleanUp.ReferenceOTU28004,896
otu_591748,52
otu_571320,343
