OTU,Total_sample_counts
otu_505587,104
otu_1083508,267
otu_165827,47
otu_654742,38
otu_1082539,103
otu_906820,29
otu_441265,182
otu_420127,54
otu_873887,25
otu_865469,305
otu_1068902,33
otu_579608,347
otu_503387,45
otu_790545,43
otu_933546,130
otu_510422,63
otu_822419,49
otu_918840,20
otu_703741,48
otu_984831,332
otu_540737,47
otu_1088305,112
otu_574655,108
otu_995960,40
otu_667570,100
otu_1111582,102
otu_716006,103
otu_446403,71
otu_968954,122
otu_4404401,30
otu_1108638,74
otu_1047041,205
otu_4318989,42
otu_1033018,73
otu_922761,354
otu_4028105,38
otu_New.3.ReferenceOTU105,248
otu_1048194,26
otu_534507,50
otu_1011954,59
otu_903158,53
otu_589597,65
otu_1084865,2219
otu_1083194,987
