OTU,Total_sample_counts
otu_2752360,35
otu_829814,38
otu_830688,53
otu_1104529,686
otu_536986,2574
otu_509913,584
otu_740871,114
otu_987760,1628
otu_969805,52
otu_589792,531
otu_179845,190
otu_New.0.ReferenceOTU384,346
otu_369064,30
otu_New.0.ReferenceOTU587,209
otu_225795,18
otu_539305,21
otu_New.0.ReferenceOTU158,27
otu_New.0.ReferenceOTU347,897
otu_New.0.ReferenceOTU18,35
otu_New.0.ReferenceOTU769,21
otu_New.0.ReferenceOTU649,27
otu_580411,162
otu_156357,175
otu_248648,39
otu_552922,48
otu_New.0.ReferenceOTU100,39
otu_New.0.ReferenceOTU428,199
otu_New.0.ReferenceOTU216,107
otu_809486,86
otu_807369,308
otu_New.0.ReferenceOTU411,35
otu_New.0.ReferenceOTU410,16
otu_1133602,11
otu_989870,157
otu_New.0.ReferenceOTU323,20
otu_823476,234
otu_543151,790
otu_537290,559
otu_New.0.ReferenceOTU37,17
otu_590586,73
otu_548576,3150
otu_New.0.ReferenceOTU369,34
otu_New.0.ReferenceOTU680,626
otu_4395263,19
otu_New.0.ReferenceOTU703,32
otu_288029,36
otu_239345,28
otu_4342113,64
otu_553623,34
otu_1013670,311
otu_539735,34
otu_152229,32
otu_37948,185
otu_754823,22
otu_34791,20
otu_589547,40
otu_941278,23
otu_830290,632
otu_New.0.CleanUp.ReferenceOTU134906,11
otu_108049,31
otu_271297,28
otu_894928,23
otu_1101488,145
otu_805854,15957
otu_233981,9644
otu_209511,373
otu_27938,253
otu_388951,37
otu_297672,8250
otu_963779,55
otu_1082059,452
otu_914108,32
