OTU,Total_sample_counts
otu_1059729,78
otu_1084157,96
otu_1002005,522
otu_810959,37
otu_1096738,54
otu_578911,30
otu_966091,31
otu_1108960,178
otu_836783,55
otu_516611,27
otu_785526,68
otu_687940,81
otu_585419,79
otu_4428164,44
otu_1060029,105
otu_542066,73
otu_688714,47
otu_561885,37
otu_206826,26
otu_721526,63
otu_839235,33
otu_814277,62
otu_363305,22
otu_435928,90
otu_1101451,374
otu_1105574,43
otu_1080820,35
otu_349901,46
otu_996116,42
otu_1081815,39
otu_988314,1465
otu_874750,25
otu_813945,115
otu_510174,38
otu_New.0.CleanUp.ReferenceOTU9034,17
otu_New.0.CleanUp.ReferenceOTU15172,22
otu_1108289,472
otu_1084906,24
otu_465989,32
otu_New.0.CleanUp.ReferenceOTU24853,25
otu_New.0.CleanUp.ReferenceOTU32288,30
otu_543684,36
otu_1084952,119
otu_4422519,44
otu_269907,51
otu_New.0.CleanUp.ReferenceOTU111110,113
otu_593376,33
otu_530833,43
otu_450209,31
otu_570385,65
otu_835594,35
otu_New.3.ReferenceOTU478,93
otu_New.3.ReferenceOTU59,26
otu_1099914,75
otu_133075,39
otu_1074210,121
otu_974121,64
otu_883748,24
otu_829851,124
otu_1009894,30
otu_1009362,49
otu_938948,96
otu_2855257,37
otu_276149,336
otu_879040,74
