OTU,Total_sample_counts
otu_544680,4856
otu_740871,93
otu_990864,86
otu_805151,416
otu_589792,700
otu_789831,63
otu_1104529,1114
otu_509913,52
otu_269774,97
otu_New.0.ReferenceOTU384,68
otu_559527,1563
otu_New.0.ReferenceOTU174,96
otu_830290,319
otu_New.0.ReferenceOTU392,511
otu_New.0.ReferenceOTU138,2756
otu_894928,57
otu_New.0.ReferenceOTU58,70
otu_New.0.ReferenceOTU727,566
otu_New.0.ReferenceOTU791,19839
otu_New.0.ReferenceOTU100,49
otu_New.0.ReferenceOTU428,359
otu_New.0.ReferenceOTU678,215
otu_1866742,192
otu_New.0.ReferenceOTU411,88
otu_New.0.ReferenceOTU31,80
otu_2752360,38
otu_559613,33
otu_829814,64
otu_593209,29
otu_New.0.ReferenceOTU660,47
otu_New.0.ReferenceOTU113,23
otu_132837,2852
otu_New.0.CleanUp.ReferenceOTU9034,43
otu_987760,2037
otu_New.0.CleanUp.ReferenceOTU11696,26
otu_New.0.CleanUp.ReferenceOTU15705,27
otu_New.0.CleanUp.ReferenceOTU16366,2215
otu_590218,942
otu_New.0.CleanUp.ReferenceOTU34183,65
otu_New.0.CleanUp.ReferenceOTU41194,45
otu_New.0.CleanUp.ReferenceOTU107099,44
otu_New.0.CleanUp.ReferenceOTU111110,613
otu_703741,496
otu_823476,37
otu_543151,384
otu_New.0.CleanUp.ReferenceOTU143701,20
otu_548576,2450
otu_4342113,95
otu_604966,50
otu_692154,91
otu_679245,437
