"Pathway"	"Total_sample_counts"
"ko00010"	416.5
"ko00020"	273
"ko00030"	179.75
"ko00040"	98.25
"ko00051"	151.75
"ko00052"	102.75
"ko00053"	61
"ko00061"	260.5
"ko00071"	182.25
"ko00072"	60.5
"ko00100"	4
"ko00130"	106
"ko00190"	511.5
"ko00195"	98
"ko00220"	171.75
"ko00230"	657.5
"ko00240"	514.75
"ko00250"	290.75
"ko00260"	338.5
"ko00261"	81.5
"ko00270"	437.5
"ko00280"	272.25
"ko00281"	36.5
"ko00290"	167.25
"ko00300"	175.75
"ko00310"	88.5
"ko00330"	268.5
"ko00332"	24.5
"ko00333"	97.75
"ko00340"	175
"ko00350"	117.25
"ko00360"	165.5
"ko00361"	20
"ko00362"	193.75
"ko00364"	8
"ko00380"	129
"ko00400"	256.75
"ko00401"	40.75
"ko00405"	12.25
"ko00410"	97.5
"ko00430"	57
"ko00440"	8.25
"ko00450"	110
"ko00460"	32.75
"ko00471"	36.75
"ko00472"	4
"ko00473"	28.5
"ko00480"	69.5
"ko00500"	226.75
"ko00520"	229.75
"ko00521"	32.75
"ko00524"	8.25
"ko00540"	4
"ko00550"	293.75
"ko00561"	122
"ko00562"	32.75
"ko00564"	236.5
"ko00572"	12.25
"ko00590"	12.25
"ko00592"	16.25
"ko00620"	529.25
"ko00621"	32.25
"ko00622"	48.25
"ko00623"	12
"ko00625"	77
"ko00626"	36.75
"ko00627"	44.5
"ko00630"	394.75
"ko00640"	338.25
"ko00642"	16.25
"ko00643"	36
"ko00650"	296.5
"ko00660"	106
"ko00670"	155.25
"ko00680"	187.5
"ko00710"	142.75
"ko00720"	379
"ko00730"	196
"ko00740"	97.5
"ko00750"	53
"ko00760"	147
"ko00770"	212
"ko00780"	183.5
"ko00785"	28.5
"ko00790"	187.25
"ko00830"	24.5
"ko00860"	445
"ko00900"	175.25
"ko00903"	40.25
"ko00906"	16.5
"ko00908"	12.25
"ko00909"	4
"ko00910"	93.75
"ko00920"	171.25
"ko00930"	8
"ko00940"	16.5
"ko00950"	12.25
"ko00960"	40.75
"ko00965"	8.25
"ko00966"	12.25
"ko00970"	1273.5
"ko00980"	24.5
"ko00981"	36.25
"ko00982"	24.5
"ko00983"	98
"ko00999"	12.25
"ko01040"	73.25
"ko01051"	12.25
"ko01053"	12.25
"ko01054"	4
"ko01062"	8.25
"ko01100"	6338.25
"ko01110"	3097.75
"ko01120"	1872
"ko01130"	2174.5
"ko01200"	1006.75
"ko01210"	285.75
"ko01212"	329.25
"ko01220"	145
"ko01230"	1352
"ko01501"	106
"ko01502"	73.5
"ko01503"	57
"ko01523"	61.25
"ko01524"	12.25
"ko02010"	1176.25
"ko02020"	883.75
"ko02024"	706.75
"ko02025"	61.25
"ko02026"	90.25
"ko02030"	362.75
"ko02040"	400
"ko02060"	123.75
"ko03008"	12.25
"ko03010"	972.25
"ko03013"	28.5
"ko03018"	175.5
"ko03020"	61.25
"ko03030"	203.75
"ko03060"	212
"ko03070"	175.25
"ko03320"	52.75
"ko03410"	122.25
"ko03420"	122.5
"ko03430"	249
"ko03440"	257.25
"ko03450"	8
"ko04011"	24
"ko04013"	20.5
"ko04016"	48.5
"ko04066"	69.25
"ko04068"	44.5
"ko04070"	24.5
"ko04112"	159
"ko04122"	109.75
"ko04138"	4
"ko04141"	12.25
"ko04146"	125.75
"ko04152"	12.25
"ko04211"	44.5
"ko04212"	81.25
"ko04213"	69
"ko04214"	12.25
"ko04216"	40.5
"ko04217"	28.75
"ko04621"	32.5
"ko04626"	32.5
"ko04714"	69
"ko04724"	20.5
"ko04727"	20.5
"ko04910"	12.25
"ko04918"	12.25
"ko04920"	40.5
"ko04922"	61.25
"ko04930"	12.25
"ko04931"	16.5
"ko04934"	4
"ko04940"	12.25
"ko04973"	8.25
"ko04978"	12.25
"ko05010"	24.5
"ko05014"	36.25
"ko05016"	32.75
"ko05020"	12.25
"ko05111"	118.25
"ko05120"	28.75
"ko05132"	28.25
"ko05134"	57
"ko05146"	12.25
"ko05152"	40.75
"ko05165"	12.25
"ko05200"	4
"ko05203"	12.25
"ko05204"	12.25
"ko05205"	12.25
"ko05206"	8.25
"ko05211"	4
"ko05230"	65.25
"ko05231"	8.25
"ko05340"	12.25
"ko05418"	24.5
