"Pathway"	"Total_sample_counts"
"ko00010"	27322.0068181818
"ko00020"	21569.8886363636
"ko00030"	21206.4659090909
"ko00040"	6590.12045454545
"ko00051"	15537.3204545455
"ko00052"	6860.07727272727
"ko00053"	4972.35681818182
"ko00061"	22394.8136363636
"ko00071"	23038.0795454545
"ko00072"	7895.50454545455
"ko00120"	678.490909090909
"ko00121"	678.490909090909
"ko00130"	12442.2431818182
"ko00140"	1543.25454545455
"ko00190"	41993.2977272727
"ko00195"	5678.92727272727
"ko00220"	20792.7636363636
"ko00230"	59598.6795454545
"ko00240"	37848.3454545455
"ko00250"	25647.9795454545
"ko00253"	1232.8
"ko00260"	36101.2318181818
"ko00261"	8455.64090909091
"ko00270"	27897.25
"ko00280"	29822.3295454545
"ko00281"	9127.64545454546
"ko00290"	11943.5386363636
"ko00300"	13237.7704545455
"ko00310"	16407.4090909091
"ko00311"	616.4
"ko00330"	32384.6909090909
"ko00332"	1419.73181818182
"ko00333"	7863.47045454545
"ko00340"	16039.3727272727
"ko00350"	16008.6568181818
"ko00360"	23282.5931818182
"ko00361"	2559.06590909091
"ko00362"	23898.3340909091
"ko00363"	616.4
"ko00364"	3791.86590909091
"ko00380"	21182.3931818182
"ko00400"	21873.8568181818
"ko00401"	4072.26363636364
"ko00404"	3082
"ko00405"	1388.35681818182
"ko00410"	12522.0772727273
"ko00430"	4320.62727272727
"ko00440"	3582.68181818182
"ko00450"	9105.39318181818
"ko00460"	7372.57045454546
"ko00471"	3518.61363636364
"ko00472"	1232.8
"ko00473"	2160.97272727273
"ko00480"	18170.2886363636
"ko00500"	16561.4909090909
"ko00511"	217.647727272727
"ko00513"	124.181818181818
"ko00520"	32501.5704545455
"ko00521"	7247.72954545455
"ko00523"	3947.42272727273
"ko00524"	647.775
"ko00525"	1419.73181818182
"ko00531"	834.047727272727
"ko00540"	15001.9681818182
"ko00550"	15063.4
"ko00561"	10064.2818181818
"ko00562"	7707.91363636364
"ko00564"	20338.4068181818
"ko00565"	1357.64090909091
"ko00572"	93.4659090909091
"ko00590"	2036.13181818182
"ko00591"	93.4659090909091
"ko00592"	1513.19772727273
"ko00600"	1636.72045454545
"ko00603"	186.272727272727
"ko00604"	124.181818181818
"ko00620"	38855.6931818182
"ko00621"	835.365909090909
"ko00622"	3300.96590909091
"ko00623"	1326.26590909091
"ko00624"	2527.69090909091
"ko00625"	6475.77272727273
"ko00626"	1544.57272727273
"ko00627"	9652.55681818182
"ko00630"	42660.7931818182
"ko00633"	1146.47954545455
"ko00640"	31385.8068181818
"ko00642"	1419.73181818182
"ko00643"	7583.07272727273
"ko00650"	30088.9386363636
"ko00660"	9135.45
"ko00670"	12590.6545454545
"ko00680"	19229.7886363636
"ko00710"	8494.82045454546
"ko00720"	25860.4590909091
"ko00730"	8922.97045454546
"ko00740"	9719.81590909091
"ko00750"	6420.16818181818
"ko00760"	17006.0659090909
"ko00770"	15400.0613636364
"ko00780"	16904.7954545455
"ko00785"	1451.10681818182
"ko00790"	25026.4113636364
"ko00791"	1943.325
"ko00830"	741.240909090909
"ko00860"	28944.4363636364
"ko00900"	12465.8136363636
"ko00903"	5118.13181818182
"ko00908"	709.865909090909
"ko00910"	15773.2659090909
"ko00920"	37445.3454545455
"ko00930"	4501.73181818182
"ko00940"	2130.25681818182
"ko00950"	2652.53181818182
"ko00960"	5305.06363636364
"ko00965"	647.775
"ko00966"	709.865909090909
"ko00970"	72608.1
"ko00980"	5890.74772727273
"ko00981"	1849.2
"ko00982"	6507.14772727273
"ko00983"	11295.7636363636
"ko00999"	2066.84772727273
"ko01040"	10117.25
"ko01051"	803.331818181818
"ko01053"	4844.87954545455
"ko01054"	709.865909090909
"ko01055"	709.865909090909
"ko01057"	1232.8
"ko01100"	582980.690909091
"ko01110"	243073.861363636
"ko01120"	197796.890909091
"ko01130"	190217.061363636
"ko01200"	89338.6431818182
"ko01210"	22466.0272727273
"ko01212"	37381.8318181818
"ko01220"	18477.5522727273
"ko01230"	102849.006818182
"ko01501"	15006.4772727273
"ko01502"	4938.34545454546
"ko01503"	19786.075
"ko01523"	4844.22045454546
"ko01524"	6507.14772727273
"ko02010"	153796.095454545
"ko02020"	155290.493181818
"ko02024"	66773.2181818182
"ko02025"	46442.8772727273
"ko02026"	28180.9431818182
"ko02030"	37145.1227272727
"ko02040"	29504.3113636364
"ko02060"	11485.8340909091
"ko03008"	2036.13181818182
"ko03010"	51800.4909090909
"ko03013"	1451.10681818182
"ko03018"	11668.3090909091
"ko03020"	2839.46363636364
"ko03030"	13797.9068181818
"ko03060"	11544.7863636364
"ko03070"	28061.825
"ko03320"	6630.67045454546
"ko03410"	9813.94090909091
"ko03420"	6326.70227272727
"ko03430"	14850.9204545455
"ko03440"	18244.6931818182
"ko04011"	2559.06590909091
"ko04013"	1419.73181818182
"ko04016"	4010.17272727273
"ko04066"	2315.87045454545
"ko04068"	3978.79772727273
"ko04070"	2808.08863636364
"ko04072"	771.956818181818
"ko04112"	10952.6159090909
"ko04115"	616.4
"ko04122"	14502.6045454545
"ko04141"	709.865909090909
"ko04142"	186.272727272727
"ko04146"	10304.1818181818
"ko04151"	709.865909090909
"ko04152"	927.513636363636
"ko04210"	616.4
"ko04211"	3978.79772727273
"ko04212"	6232.57727272727
"ko04213"	4782.12954545455
"ko04214"	2036.13181818182
"ko04215"	616.4
"ko04216"	2838.80454545455
"ko04217"	7217.01363636364
"ko04260"	2035.47272727273
"ko04612"	709.865909090909
"ko04614"	124.181818181818
"ko04621"	2564.89318181818
"ko04622"	31.375
"ko04626"	4507.55909090909
"ko04657"	709.865909090909
"ko04659"	709.865909090909
"ko04714"	7526.15
"ko04724"	5765.90681818182
"ko04726"	616.4
"ko04727"	5827.99772727273
"ko04728"	616.4
"ko04910"	1451.10681818182
"ko04914"	709.865909090909
"ko04915"	709.865909090909
"ko04917"	31.375
"ko04918"	2652.53181818182
"ko04919"	616.4
"ko04920"	2745.33863636364
"ko04922"	2316.52954545455
"ko04928"	62.0909090909091
"ko04930"	1419.73181818182
"ko04931"	2067.50681818182
"ko04932"	2651.87272727273
"ko04934"	1942.66590909091
"ko04940"	834.047727272727
"ko04964"	772.615909090909
"ko04973"	311.113636363636
"ko04976"	62.0909090909091
"ko04978"	616.4
"ko05010"	4133.69545454546
"ko05012"	2651.87272727273
"ko05014"	3268.93181818182
"ko05016"	4165.07045454546
"ko05020"	93.4659090909091
"ko05030"	616.4
"ko05031"	616.4
"ko05034"	616.4
"ko05110"	311.772727272727
"ko05111"	25450.3454545455
"ko05120"	2160.97272727273
"ko05132"	2969.47272727273
"ko05133"	10456.5477272727
"ko05134"	3921.875
"ko05142"	771.956818181818
"ko05143"	1388.35681818182
"ko05145"	616.4
"ko05146"	31.375
"ko05150"	616.4
"ko05152"	3610.76136363636
"ko05161"	616.4
"ko05163"	616.4
"ko05164"	616.4
"ko05165"	1419.73181818182
"ko05167"	616.4
"ko05168"	616.4
"ko05170"	616.4
"ko05200"	9651.23863636364
"ko05203"	1419.73181818182
"ko05204"	5859.37272727273
"ko05205"	709.865909090909
"ko05206"	2130.91590909091
"ko05210"	616.4
"ko05211"	1942.66590909091
"ko05215"	709.865909090909
"ko05219"	93.4659090909091
"ko05222"	616.4
"ko05225"	6382.30681818182
"ko05230"	3736.26136363636
"ko05231"	803.331818181818
"ko05322"	616.4
"ko05340"	803.331818181818
"ko05416"	616.4
"ko05418"	8511.90454545455
