"Pathway"	"Total_sample_counts"
"ko00010"	829099.808333333
"ko00020"	738939.966666667
"ko00030"	647496.558333333
"ko00040"	274056.4
"ko00051"	348490.35
"ko00052"	340467.425
"ko00053"	224612.125
"ko00061"	658990.941666667
"ko00071"	676020.091666667
"ko00072"	309336.583333333
"ko00100"	757.333333333333
"ko00120"	23299.2
"ko00121"	9397.2
"ko00130"	303317.6
"ko00140"	44618.3666666667
"ko00190"	1568714.05
"ko00195"	260785.125
"ko00220"	511590.291666667
"ko00230"	1900136.71666667
"ko00232"	696
"ko00240"	1355484.26666667
"ko00250"	767114.675
"ko00253"	305.375
"ko00260"	946068.325
"ko00261"	208811.175
"ko00270"	972248.358333333
"ko00280"	1046494.28333333
"ko00281"	267634.1
"ko00290"	523633.725
"ko00300"	439733.691666667
"ko00310"	461397.941666667
"ko00311"	61845.3166666667
"ko00330"	585613.15
"ko00332"	61648.8666666667
"ko00333"	213597.025
"ko00340"	491770.658333333
"ko00350"	418395.108333333
"ko00360"	631941.608333333
"ko00361"	127221.966666667
"ko00362"	846623
"ko00363"	651.825
"ko00364"	71942.4416666667
"ko00365"	85761.5333333333
"ko00380"	589482.675
"ko00400"	723301.658333333
"ko00401"	132146.2
"ko00404"	33415.2083333333
"ko00405"	85562.3
"ko00410"	388908.975
"ko00430"	125122.258333333
"ko00440"	103477.633333333
"ko00450"	302520.4
"ko00460"	213752.233333333
"ko00471"	118474.7
"ko00472"	23679.5583333333
"ko00473"	75421.7
"ko00480"	739766.766666667
"ko00500"	496153.866666667
"ko00510"	16642.7333333333
"ko00511"	47934.8333333333
"ko00513"	13693.8333333333
"ko00514"	4184.6
"ko00515"	4184.6
"ko00520"	874445.9
"ko00521"	242838.683333333
"ko00523"	115118.408333333
"ko00524"	56314.9333333333
"ko00525"	56746.4916666667
"ko00531"	45444.2333333333
"ko00540"	388740.883333333
"ko00550"	621310.933333333
"ko00561"	258807.916666667
"ko00562"	148098.341666667
"ko00564"	548803.175
"ko00565"	31278.9083333333
"ko00571"	10927.5166666667
"ko00572"	10613.5
"ko00590"	86865.3666666667
"ko00591"	32309.3333333333
"ko00592"	57232.375
"ko00600"	44875.2583333333
"ko00603"	16769.675
"ko00604"	13275.5
"ko00620"	1234744.3
"ko00621"	144394.741666667
"ko00622"	121154
"ko00623"	106246.066666667
"ko00624"	113966.133333333
"ko00625"	150185.683333333
"ko00626"	103983.791666667
"ko00627"	360214.783333333
"ko00630"	1198853.75
"ko00633"	72038.75
"ko00640"	997096.808333333
"ko00642"	57293.2083333333
"ko00643"	109670.5
"ko00650"	1062750.725
"ko00660"	344450.358333333
"ko00670"	407129.225
"ko00680"	597147.141666667
"ko00710"	392611.916666667
"ko00720"	891444.516666667
"ko00730"	303742.941666667
"ko00740"	248529.333333333
"ko00750"	170459.558333333
"ko00760"	605089.075
"ko00770"	538372.058333333
"ko00780"	463900.658333333
"ko00785"	56181.0666666667
"ko00790"	675423.6
"ko00791"	49670.4083333333
"ko00830"	46744.525
"ko00860"	783150.091666667
"ko00900"	491456.325
"ko00902"	61.3333333333333
"ko00903"	155568.783333333
"ko00906"	63510.9666666667
"ko00908"	30824.4333333333
"ko00909"	135.1
"ko00910"	484903.733333333
"ko00920"	626218.708333333
"ko00930"	146074.341666667
"ko00940"	114206.833333333
"ko00950"	43667.6416666667
"ko00960"	113767.066666667
"ko00965"	36519.3666666667
"ko00966"	64682.8916666667
"ko00970"	2457376.54166667
"ko00980"	299496.225
"ko00981"	44258.8333333333
"ko00982"	302752.233333333
"ko00983"	488819.941666667
"ko00984"	19158.95
"ko00999"	55480.6083333333
"ko01040"	284408.6
"ko01051"	36420.7666666667
"ko01052"	347
"ko01053"	75222.9083333333
"ko01054"	33201.0666666667
"ko01055"	38624.325
"ko01057"	654.375
"ko01059"	408.333333333333
"ko01062"	24640.9666666667
"ko01100"	18090306.8916667
"ko01110"	8018115.81666667
"ko01120"	5979690.325
"ko01130"	6189677.38333333
"ko01200"	3032708.26666667
"ko01210"	811323.35
"ko01212"	1111453.34166667
"ko01220"	480199.591666667
"ko01230"	3465706.825
"ko01501"	514685.558333333
"ko01502"	200989.366666667
"ko01503"	419433.366666667
"ko01523"	153618.033333333
"ko01524"	362696.083333333
"ko02010"	3127998.24166667
"ko02020"	3442845.29166667
"ko02024"	2296556.61666667
"ko02025"	506432.925
"ko02026"	441362.183333333
"ko02030"	748882.766666667
"ko02040"	1086044.86666667
"ko02060"	100845.866666667
"ko03008"	67720.6
"ko03010"	1837108.275
"ko03013"	40327.8333333333
"ko03018"	459855.991666667
"ko03020"	123297.733333333
"ko03022"	746
"ko03030"	506383.966666667
"ko03050"	2088
"ko03060"	538869.841666667
"ko03070"	961892.908333333
"ko03320"	239211.858333333
"ko03410"	465448.325
"ko03420"	292431.466666667
"ko03430"	566043.1
"ko03440"	657261.233333333
"ko03450"	36767.2
"ko04011"	40640.3666666667
"ko04013"	56361.0666666667
"ko04014"	173.5
"ko04016"	128014.75
"ko04024"	869.5
"ko04066"	91086.4
"ko04068"	110436.641666667
"ko04070"	105035.766666667
"ko04071"	2286.5
"ko04072"	25956.7666666667
"ko04080"	15123.35
"ko04112"	482347.566666667
"ko04113"	33441.9666666667
"ko04115"	53560.2333333333
"ko04122"	256344.808333333
"ko04138"	4409.9
"ko04141"	51892.4333333333
"ko04142"	38445.1666666667
