"Pathway"	"Total_sample_counts"
"ko00010"	14433.269047619
"ko00020"	11782.3095238095
"ko00030"	9709.06071428571
"ko00040"	3518.00595238095
"ko00051"	7257.13928571429
"ko00052"	3841.68571428571
"ko00053"	2476.35
"ko00061"	8931.11904761905
"ko00071"	9174.94761904762
"ko00072"	3484.82619047619
"ko00120"	268.707142857143
"ko00121"	325.957142857143
"ko00130"	4650.97023809524
"ko00140"	135.057142857143
"ko00190"	19964.9369047619
"ko00195"	3900.48809523809
"ko00220"	9097.83928571429
"ko00230"	31321.8178571429
"ko00232"	20.6666666666667
"ko00240"	21714.7023809524
"ko00250"	13231.4666666667
"ko00253"	67.2
"ko00260"	16562.8761904762
"ko00261"	3793.41547619048
"ko00270"	13068.9357142857
"ko00280"	12758.3583333333
"ko00281"	2286.78452380952
"ko00290"	6490.76666666667
"ko00300"	7757.30476190476
"ko00310"	8480.08214285714
"ko00311"	402.333333333333
"ko00330"	10277.794047619
"ko00332"	943.434523809524
"ko00333"	3321.58809523809
"ko00340"	8026.30119047619
"ko00350"	6134.15119047619
"ko00360"	8731.42023809524
"ko00361"	1979.51904761905
"ko00362"	11798.1869047619
"ko00363"	33.6
"ko00364"	1727.31428571429
"ko00380"	8517.51904761905
"ko00400"	10341.1297619048
"ko00401"	2049.92619047619
"ko00404"	168
"ko00405"	729.111904761905
"ko00410"	4907.8130952381
"ko00430"	2140.75119047619
"ko00440"	1474.42619047619
"ko00450"	5030.74404761905
"ko00460"	1918.70952380952
"ko00471"	1874.45119047619
"ko00472"	431.95
"ko00473"	1469.05238095238
"ko00480"	7281.12619047619
"ko00500"	7342.01785714286
"ko00510"	325.983333333333
"ko00511"	15.6369047619048
"ko00513"	6.58928571428571
"ko00514"	195.066666666667
"ko00515"	195.066666666667
"ko00520"	12946.9535714286
"ko00521"	3136.61071428571
"ko00523"	1528.86071428571
"ko00524"	282.380952380952
"ko00525"	630.392857142857
"ko00531"	541.135714285714
"ko00540"	3877.48095238095
"ko00550"	7888.43333333333
"ko00561"	5588.525
"ko00562"	2033.84285714286
"ko00564"	8047.56904761905
"ko00565"	336.279761904762
"ko00571"	433.516666666667
"ko00572"	449.130952380952
"ko00590"	699.598809523809
"ko00591"	144.113095238095
"ko00592"	671.415476190476
"ko00600"	185.361904761905
"ko00603"	9.30357142857143
"ko00604"	6.58928571428571
"ko00620"	19510.5892857143
"ko00621"	1027.51666666667
"ko00622"	2610.45238095238
"ko00623"	1532.90238095238
"ko00624"	1056.07857142857
"ko00625"	2700.04880952381
"ko00626"	1470.77261904762
"ko00627"	2594.16071428571
"ko00630"	21105.4595238095
"ko00633"	345.155952380952
"ko00640"	14597.1023809524
"ko00642"	473.235714285714
"ko00643"	1722.16071428571
"ko00650"	13547.0857142857
"ko00660"	4964.59880952381
"ko00670"	7211.75119047619
"ko00680"	12435.0904761905
"ko00710"	5935.6130952381
"ko00720"	14067.3011904762
"ko00730"	5284.10952380952
"ko00740"	4013.79523809524
"ko00750"	2865.1380952381
"ko00760"	8133.66785714286
"ko00770"	7878.82976190476
"ko00780"	7530.06785714286
"ko00785"	1211.86428571429
"ko00790"	10160.944047619
"ko00791"	1019.18333333333
"ko00830"	822.005952380952
"ko00860"	11842.8178571429
"ko00900"	7401.68452380952
"ko00903"	2443.89285714286
"ko00906"	435.128571428571
"ko00908"	473.779761904762
"ko00910"	7185.97857142857
"ko00920"	13723.2428571429
"ko00930"	1525.87619047619
"ko00940"	514.954761904762
"ko00950"	833.709523809524
"ko00960"	1952.66071428571
"ko00965"	307.088095238095
"ko00966"	486.529761904762
"ko00970"	39924.455952381
"ko00980"	2582.30595238095
"ko00981"	1176.07380952381
"ko00982"	2776.82261904762
"ko00983"	6486.46547619048
"ko00984"	185.157142857143
"ko00999"	830.479761904762
"ko01040"	4277.54285714286
"ko01051"	503.803571428571
"ko01053"	734.058333333333
"ko01054"	284.1
"ko01055"	397.261904761905
"ko01057"	67.2
"ko01062"	51.5309523809524
"ko01100"	271159.397619048
"ko01110"	119871.954761905
"ko01120"	92250.6285714286
"ko01130"	93521.1511904762
"ko01200"	46835.8202380952
"ko01210"	12214.4023809524
"ko01212"	13773.4821428571
"ko01220"	8686.08333333333
"ko01230"	53551.3523809524
"ko01501"	6070.20833333333
"ko01502"	2994.43214285714
"ko01503"	3986.50119047619
