"Pathway"	"Total_sample_counts"
"ko00010"	10032.375
"ko00020"	4819.775
"ko00030"	5688.26666666667
"ko00040"	2299.53333333333
"ko00051"	6077.99166666667
"ko00052"	5541.25833333333
"ko00053"	1568.28333333333
"ko00061"	3889.175
"ko00071"	2327.84166666667
"ko00072"	791.266666666667
"ko00120"	132.2
"ko00121"	132.2
"ko00130"	1962.64166666667
"ko00140"	3.875
"ko00190"	7389.26666666667
"ko00195"	2479.05833333333
"ko00220"	4344.01666666667
"ko00230"	18242.3166666667
"ko00232"	6.45833333333333
"ko00240"	13445.825
"ko00250"	5803.24166666667
"ko00260"	7379.14166666667
"ko00261"	1545.83333333333
"ko00270"	7087.54166666667
"ko00280"	2979.05833333333
"ko00281"	289.908333333333
"ko00290"	3791.31666666667
"ko00300"	3978.01666666667
"ko00310"	1755.4
"ko00311"	106.416666666667
"ko00330"	2790.45833333333
"ko00332"	389.625
"ko00333"	919.866666666667
"ko00340"	3298.80833333333
"ko00350"	1453.15
"ko00360"	1183.54166666667
"ko00361"	338.775
"ko00362"	1458.775
"ko00364"	49.625
"ko00365"	41.3333333333333
"ko00380"	1574.125
"ko00400"	5795.78333333333
"ko00401"	711.166666666667
"ko00404"	16
"ko00405"	620.608333333333
"ko00410"	1154.68333333333
"ko00430"	1257.2
"ko00440"	440.616666666667
"ko00450"	2232.34166666667
"ko00460"	1136.05833333333
"ko00471"	966.891666666667
"ko00472"	127.491666666667
"ko00473"	1343.28333333333
"ko00480"	2491.69166666667
"ko00500"	7115.20833333333
"ko00510"	39
"ko00511"	637.875
"ko00513"	100.5
"ko00514"	56
"ko00515"	56
"ko00520"	10197.0083333333
"ko00521"	1605.7
"ko00523"	553
"ko00524"	341.075
"ko00525"	285.75
"ko00531"	193.208333333333
"ko00540"	704.791666666667
"ko00550"	6450.5
"ko00561"	3872.06666666667
"ko00562"	985.066666666667
"ko00564"	4218.73333333333
"ko00565"	222.7
"ko00571"	336
"ko00572"	506.616666666667
"ko00590"	456.15
"ko00591"	46.25
"ko00592"	194.825
"ko00600"	367.458333333333
"ko00603"	140.75
"ko00604"	100.5
"ko00620"	9731.81666666667
"ko00621"	243.725
"ko00622"	513.5
"ko00623"	36.7083333333333
"ko00624"	6.45833333333333
"ko00625"	1082.49166666667
"ko00626"	670.1
"ko00627"	693.175
"ko00630"	5218.95833333333
"ko00633"	187.333333333333
"ko00640"	5743.18333333333
"ko00642"	164.575
"ko00643"	498.041666666667
"ko00650"	4807.29166666667
"ko00660"	2581.16666666667
"ko00670"	3458.66666666667
"ko00680"	5014.64166666667
"ko00710"	3363.40833333333
"ko00720"	6174.65833333333
"ko00730"	3013.65833333333
"ko00740"	1764.39166666667
"ko00750"	1448.925
"ko00760"	3073.025
"ko00770"	4478.575
"ko00780"	2572.475
"ko00785"	714.633333333333
"ko00790"	5248.63333333333
"ko00791"	643.808333333333
"ko00830"	431.233333333333
"ko00860"	3932.03333333333
"ko00900"	3330.775
"ko00903"	470.85
"ko00906"	626.208333333333
"ko00908"	309.075
"ko00909"	10.3333333333333
"ko00910"	2601.025
"ko00920"	3222.73333333333
"ko00930"	125.625
"ko00940"	217.166666666667
"ko00950"	66.4583333333333
"ko00960"	578
"ko00965"	30.25
"ko00966"	309.075
"ko00970"	23554.1916666667
"ko00980"	673.775
"ko00981"	377.516666666667
"ko00982"	682.816666666667
"ko00983"	2885.04166666667
"ko00984"	46
"ko00999"	441.241666666667
"ko01040"	681.925
"ko01051"	441.616666666667
"ko01053"	374.95
"ko01054"	32.8333333333333
"ko01055"	142.875
"ko01062"	12.9166666666667
"ko01100"	131768.9
"ko01110"	60857.7583333333
"ko01120"	36709.0416666667
"ko01130"	46183.5833333333
"ko01200"	20766.9416666667
"ko01210"	5745.03333333333
"ko01212"	4536.89166666667
"ko01220"	1479.18333333333
"ko01230"	29332.4666666667
"ko01501"	3851.73333333333
"ko01502"	1906.86666666667
"ko01503"	3076.925
"ko01523"	1561.375
"ko01524"	691.408333333333
"ko02010"	26565.4166666667
"ko02020"	17984.0333333333
"ko02024"	16483.6166666667
"ko02025"	1513.775
"ko02026"	2413.80833333333
"ko02030"	1280.95833333333
"ko02040"	1916.25
"ko02060"	8918.05
"ko03008"	372.325
"ko03010"	20865.75
"ko03013"	491.483333333333
"ko03018"	3943.925
"ko03020"	1452.66666666667
"ko03022"	56
"ko03030"	5097.69166666667
"ko03050"	56
"ko03060"	4682.26666666667
"ko03070"	4812.975
"ko03320"	679.941666666667
"ko03410"	3294.25
"ko03420"	2439.35833333333
"ko03430"	5568.20833333333
"ko03440"	6617.34166666667
"ko03450"	92.625
"ko04011"	216.95
"ko04013"	471.525
"ko04016"	899.85
"ko04066"	1159.25
"ko04068"	767.475
"ko04070"	724.875
"ko04071"	46
"ko04072"	52.7083333333333
"ko04080"	28.9166666666667
"ko04112"	3120.45833333333
"ko04113"	111
"ko04115"	40.5416666666667
"ko04122"	2163.88333333333
"ko04141"	93.4583333333333
"ko04142"	188.958333333333
"ko04144"	58.1
"ko04146"	1618.825
"ko04151"	131.708333333333
"ko04152"	384.783333333333
"ko04210"	66.875
"ko04211"	688.475
"ko04212"	1814.40833333333
"ko04213"	1061.09166666667
"ko04214"	323.866666666667
"ko04215"	40.5416666666667
"ko04216"	457.591666666667
"ko04217"	849.866666666667
"ko04260"	60.9166666666667
"ko04612"	52.7083333333333
"ko04614"	34.5833333333333
"ko04621"	580.491666666667
"ko04622"	103.708333333333
"ko04626"	499.7
"ko04657"	52.7083333333333
"ko04659"	52.7083333333333
"ko04714"	719.725
"ko04724"	422.491666666667
"ko04726"	9.04166666666667
"ko04727"	422.491666666667
"ko04728"	9.04166666666667
"ko04910"	352.166666666667
"ko04914"	52.7083333333333
"ko04915"	52.7083333333333
"ko04917"	137.416666666667
"ko04918"	562.775
"ko04919"	132.2
"ko04920"	357.783333333333
"ko04922"	1945.23333333333
"ko04924"	16
"ko04930"	352.783333333333
"ko04931"	629.033333333333
"ko04932"	101.458333333333
"ko04934"	215.366666666667
"ko04940"	368.95
"ko04964"	128.208333333333
"ko04973"	128.666666666667
"ko04974"	16
"ko04978"	90.8916666666667
"ko04979"	28.9166666666667
"ko05010"	573.983333333333
"ko05012"	101.458333333333
"ko05014"	310.2
"ko05016"	625.691666666667
"ko05020"	52.7083333333333
"ko05030"	9.04166666666667
"ko05031"	9.04166666666667
"ko05034"	9.04166666666667
"ko05100"	213.883333333333
"ko05110"	73
"ko05111"	2739.96666666667
"ko05120"	536.566666666667
"ko05132"	337.033333333333
"ko05133"	276.875
"ko05134"	1031.6
"ko05142"	108.708333333333
"ko05143"	92.7083333333333
"ko05145"	40.5416666666667
"ko05146"	175.908333333333
"ko05150"	4942
"ko05152"	1189.93333333333
"ko05161"	40.5416666666667
"ko05163"	40.5416666666667
"ko05164"	40.5416666666667
"ko05165"	352.783333333333
"ko05166"	28.9166666666667
"ko05167"	40.5416666666667
"ko05168"	40.5416666666667
"ko05170"	40.5416666666667
"ko05200"	654.075
"ko05203"	352.783333333333
"ko05204"	299.666666666667
"ko05205"	286.075
"ko05206"	404.391666666667
"ko05210"	40.5416666666667
"ko05211"	215.366666666667
"ko05215"	52.7083333333333
"ko05219"	20.7083333333333
"ko05222"	40.5416666666667
"ko05225"	345.458333333333
"ko05230"	1777.98333333333
"ko05231"	66.9583333333333
"ko05322"	6.45833333333333
"ko05340"	373.491666666667
"ko05410"	16
"ko05416"	40.5416666666667
"ko05418"	1116.06666666667
