Group: 1
OTUID	class	order	family	genus 
276149	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	
814277	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	
1099914	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Peptoniphilus	
1101451	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	
1074210	c__Bacilli	o__Gemellales	f__Gemellaceae	Unknown	
974121	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	
1108289	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	Unknown	
1002005	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	
Group: 4
OTUID	class	order	family	genus 
441265	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	
865469	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	
933546	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Unknown	
922761	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	Unknown	
1084865	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	
968954	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	
1047041	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	
1033018	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	Unknown	
984831	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	
579608	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	
1083194	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	
574655	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	
1088305	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	
New.3.ReferenceOTU105	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	Unknown	
1083508	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	Unknown	
Group: 5
OTUID	class	order	family	genus 
New.0.CleanUp.ReferenceOTU16366	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	
New.0.ReferenceOTU138	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Peptoniphilus	
New.0.ReferenceOTU678	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	Unknown	
544680	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	Unknown	
1866742	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Parvimonas	
590218	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	Unknown	
New.0.ReferenceOTU727	c__Bacilli	o__Gemellales	f__Gemellaceae	g__Gemella	
New.0.ReferenceOTU392	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	Unknown	
New.0.ReferenceOTU791	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	
132837	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	
New.0.ReferenceOTU174	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	Unknown	
Group: 6
OTUID	class	order	family	genus 
589792	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	
894928	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	
