Group: 1
OTUID	kingdom	phylum	class	order	family	genus	specie	lasttaxa 
544847	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	Unknown	Unknown	f__Xanthomonadaceae	
813418	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	Unknown	g__Novosphingobium	
1111944	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	Unknown	g__Sphingomonas	
674655	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__alaskensis	s__alaskensis	
1062748	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	Unknown	g__Mycobacterium	
1108275	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	Unknown	f__Comamonadaceae	
544841	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	Unknown	g__Sphingomonas	
1108726	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Limnohabitans	Unknown	g__Limnohabitans	
563240	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	Unknown	Unknown	f__Erythrobacteraceae	
580625	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	Unknown	Unknown	f__Bradyrhizobiaceae	
1106617	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	Unknown	f__Comamonadaceae	
992510	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	Unknown	Unknown	f__Sphingomonadaceae	
248395	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	Unknown	Unknown	f__Caulobacteraceae	
1049387	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas	s__mexicana	s__mexicana	
942852	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	Unknown	f__Comamonadaceae	
697479	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Tepidimonas	Unknown	g__Tepidimonas	
814282	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	Unknown	Unknown	f__Erythrobacteraceae	
541299	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	Unknown	Unknown	f__Caulobacteraceae	
1106324	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	Unknown	f__Comamonadaceae	
573035	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	Unknown	g__Alicyclobacillus	
New.0.ReferenceOTU445	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	Unknown	f__Comamonadaceae	
711803	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	Unknown	g__Mycobacterium	
Group: 4
OTUID	kingdom	phylum	class	order	family	genus	specie	lasttaxa 
712677	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	Unknown	f__Peptostreptococcaceae	
New.0.CleanUp.ReferenceOTU19193	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	Unknown	Unknown	f__Vibrionaceae	
768553	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Proteus	Unknown	g__Proteus	
New.0.CleanUp.ReferenceOTU1621	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
New.0.CleanUp.ReferenceOTU125389	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	Unknown	Unknown	f__Vibrionaceae	
351979	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
New.1.ReferenceOTU260	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	Unknown	Unknown	f__Clostridiaceae	
New.0.CleanUp.ReferenceOTU50341	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
1111294	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	Unknown	Unknown	f__Enterobacteriaceae	
New.0.ReferenceOTU179	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	Unknown	Unknown	f__Ruminococcaceae	
New.1.ReferenceOTU183	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	Unknown	Unknown	f__Vibrionaceae	
New.0.CleanUp.ReferenceOTU15269	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
New.0.CleanUp.ReferenceOTU116380	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	Unknown	g__Clostridium	
308081	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
New.0.CleanUp.ReferenceOTU104626	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
540982	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__plebeius	s__plebeius	
334459	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	Unknown	Unknown	f__Enterobacteriaceae	
New.0.ReferenceOTU745	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
4385756	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	Unknown	Unknown	f__Clostridiaceae	
New.0.CleanUp.ReferenceOTU43340	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
364926	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	Unknown	g__Bacteroides	
359750	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	Unknown	Unknown	f__Clostridiaceae	
New.0.CleanUp.ReferenceOTU138349	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
533373	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	Unknown	g__Bacteroides	
551969	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	Unknown	g__[Prevotella]	
291844	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	Unknown	f__Peptostreptococcaceae	
582379	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__hiranonis	s__hiranonis	
262095	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	Unknown	Unknown	f__Erysipelotrichaceae	
New.0.CleanUp.ReferenceOTU22635	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
New.0.CleanUp.ReferenceOTU108577	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	Unknown	f__Peptostreptococcaceae	
535375	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__ovatus	s__ovatus	
308309	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	Unknown	f__Peptostreptococcaceae	
820978	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Pseudoalteromonadaceae	Unknown	Unknown	f__Pseudoalteromonadaceae	
1654477	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
529652	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Sutterella	Unknown	g__Sutterella	
572889	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
519864	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	Unknown	Unknown	f__Ruminococcaceae	
337083	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	Unknown	f__Peptostreptococcaceae	
583656	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__fragilis	s__fragilis	
563572	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	Unknown	Unknown	f__Lachnospiraceae	
367535	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	Unknown	g__Dorea	
828483	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	Unknown	g__Clostridium	
New.0.CleanUp.ReferenceOTU111477	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	Unknown	g__Fusobacterium	
Group: 5
OTUID	kingdom	phylum	class	order	family	genus	specie	lasttaxa 
589547	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Tenacibaculum	Unknown	g__Tenacibaculum	
34791	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	Unknown	Unknown	f__Leptotrichiaceae	
New.0.ReferenceOTU587	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	Unknown	Unknown	f__Leptotrichiaceae	
New.0.ReferenceOTU161	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Unknown	Unknown	f__Alcaligenaceae	
818181	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Tenacibaculum	Unknown	g__Tenacibaculum	
New.0.ReferenceOTU216	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Unknown	Unknown	f__Pasteurellaceae	
New.0.ReferenceOTU347	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Unknown	Unknown	f__Pasteurellaceae	
547396	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Unknown	Unknown	f__Pasteurellaceae	
Group: 6
OTUID	kingdom	phylum	class	order	family	genus	specie	lasttaxa 
New.0.ReferenceOTU782	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	Unknown	Unknown	Unknown	o__Clostridiales	
132837	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	s__pylori	s__pylori	
538602	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Aliivibrio	s__fischeri	s__fischeri	
New.0.ReferenceOTU138	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Peptoniphilus	Unknown	g__Peptoniphilus	
New.0.ReferenceOTU111	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	Unknown	g__Brevibacterium	
New.0.CleanUp.ReferenceOTU9034	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Helcococcus	Unknown	g__Helcococcus	
New.0.CleanUp.ReferenceOTU139618	k__Bacteria	k__Bacteria-p.Other	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	Unknown	Unknown	f__Mycoplasmataceae	
544680	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	Unknown	Unknown	f__Microbacteriaceae	
2752360	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Idiomarinaceae	Unknown	Unknown	f__Idiomarinaceae	
