OTU,AQ999,AQ994,AQ735,AQ736,AQ213,AQ216,AQ215,AQ502,AQ187,AQ188,AQ189,AQ424,AQ710,AQ239,AQ525,AQ526,AQ527,AQ708,AQ709,AQ551,AQ552,AQ554,AQ396,AQ398,AQ684,AQ682,AQ447,AQ606,AQ603,AQ161,AQ162,AQ163,AQ762,AQ760,AQ761,AQ577,AQ371,AQ370,AQ372,AQ111,AQ110,AQ86,AQ84,AQ85,AQ629,AQ369,AQ109,AQ292,AQ293,AQ291,AQ294,AQ580,AQ630,AQ632,AQ137,AQ136,AQ135,AQ345,AQ346,AQ343,AQ658,AQ657,AQ655,AQ58,AQ241,AQ240,AQ242,AQ450,AQ320,AQ499,AQ476,AQ475,AQ32,AQ31,AQ318,AQ317,AQ268,AQ261,AQ267,AQ266,AQ265,AQ448,AQ451,AQ6,AQ8
otu_592628,1,2,0,0,0,0,2,1,1,1,0,0,2,4,2,0,0,0,0,4,163,0,0,2,23,0,1,13,0,2,0,0,0,0,0,0,0,1,4,0,10,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,9,1,6,1,2,0,1,1,0,0,2,0,0,0,0,1,0,0,2,2,16,0,1,0,0,1,1,1,1
otu_592832,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu_589754,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3,62,1,0,0,2,1,0,0,0,2,0,1,0,0,0,1,0,0,3,1,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,4,0,0,0,0,5,0,0,0
otu_566062,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,25,0,0,0,5,0,1,9,1,2,0,0,0,1,0,0,0,0,2,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0
otu_591748,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0
otu_571320,0,0,0,9,1,0,9,0,3,1,0,1,0,0,0,0,1,0,0,0,4,17,0,80,1,4,1,0,0,0,0,23,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,1,0,0,27,0,0,60,0,0,18,1,0,0,0,5,0,12,0,0,0,0,0,0,0,7,0,0,2
otu_593997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
otu_593489,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0
otu_1051517,2,16,0,0,0,0,24,0,0,0,0,7,0,0,4,0,0,3,0,1,4,0,0,0,1,30,3,0,0,1,0,2,0,16,5,0,0,0,0,0,8,0,4,0,0,0,0,0,1,2,2,19,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,7,2,2,2,0,0,0,1,5,0,0
otu_833645,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,168,0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
otu_706432,7,10,2,0,6,5,0,0,0,0,0,12,0,0,0,0,0,78,0,5,219,0,27,0,3,1,2,1,0,9,8,2,0,0,0,0,0,0,9,2,186,0,22,0,0,0,9,0,0,2,11,0,0,0,0,0,5,0,1,27,1,20,10,0,1,0,11,3,0,1,7,1,0,0,3,4,1,0,2,0,0,0,13,0,0
otu_New.0.ReferenceOTU246,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,97,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,3,0,0,4,1,0,0,2,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
otu_New.0.ReferenceOTU584,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2
otu_New.0.ReferenceOTU782,0,5,0,0,0,0,1,0,0,0,0,0,0,7,7,0,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0
otu_New.0.ReferenceOTU453,2,10,0,5,0,0,2,2,0,0,0,0,0,7,0,0,0,0,0,2,22,1,0,5,0,15,1,0,0,1,0,0,0,0,0,0,0,0,63,0,3,0,0,0,8,0,0,1,0,0,0,18,0,0,0,0,1,0,2,0,3,0,0,0,0,4,1,1,0,4,0,0,0,0,3,0,6,1,0,0,0,3,1,0,15
otu_New.0.ReferenceOTU41,8,23,0,0,1,0,8,0,8,2,0,0,0,2,3,0,0,0,1,2,25,1,2,0,1,38,16,5,1,8,0,0,0,7,0,1,1,0,2,0,23,0,0,0,20,0,0,2,1,1,0,1,1,0,0,1,8,1,3,0,1,0,1,4,0,7,0,0,0,3,0,4,3,12,13,0,8,1,0,1,0,6,2,0,0
otu_New.0.ReferenceOTU325,1,5,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,14,0,0,1,0,0,1,0,4
otu_New.0.ReferenceOTU739,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,136,2,0,3,5,0,0,3,2,0,0,0,0,0,0,0,1,1,9,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,5,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,1,0
otu_New.0.ReferenceOTU103,6,14,0,0,0,1,4,0,2,1,0,1,0,1,0,0,0,0,0,0,19,1,0,0,1,19,3,0,0,0,0,0,0,2,1,1,0,2,5,0,17,0,0,1,15,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,4,1,6,3,0,0,0,1,1,0,4,21,0,7,0,0,2,0,10,6,0,0
otu_New.0.ReferenceOTU111,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0
otu_New.0.ReferenceOTU168,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
otu_New.0.CleanUp.ReferenceOTU14180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_New.0.CleanUp.ReferenceOTU20164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_New.0.CleanUp.ReferenceOTU139618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,1
otu_New.1.ReferenceOTU264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,10,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,32
