OTU,AQ999,AQ994,AQ735,AQ736,AQ213,AQ216,AQ215,AQ502,AQ187,AQ188,AQ189,AQ424,AQ710,AQ239,AQ525,AQ526,AQ527,AQ708,AQ709,AQ551,AQ552,AQ554,AQ396,AQ398,AQ684,AQ682,AQ447,AQ606,AQ603,AQ161,AQ162,AQ163,AQ762,AQ760,AQ761,AQ577,AQ371,AQ370,AQ372,AQ111,AQ110,AQ86,AQ84,AQ85,AQ629,AQ369,AQ109,AQ292,AQ293,AQ291,AQ294,AQ580,AQ630,AQ632,AQ137,AQ136,AQ135,AQ345,AQ346,AQ343,AQ658,AQ657,AQ655,AQ58,AQ241,AQ240,AQ242,AQ450,AQ320,AQ499,AQ476,AQ475,AQ32,AQ31,AQ318,AQ317,AQ268,AQ261,AQ267,AQ266,AQ265,AQ448,AQ451,AQ6,AQ8
otu_563240,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_580625,1,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,9,0,3,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,2,0,0,0,0,2,0,0
otu_248395,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,0,0,0,1,0,25,0,0,0,0,0,1,2,4,2,0,3,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
otu_942852,1,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,32,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
otu_1106617,2,9,3,21,128,5,35,5,4,7,2,8,2,81,265,6,0,10,0,7,40,436,37,12,11,29,5,1021,4,12,104,1,0,68,32,95,1115,8,208,8,48,46,6,1,1,556,35,1,4,6,2,26,2,10,0,2,2,23,9,11,15,21,25,82,3,19,15,1,0,19,8,2,142,3,48,32,41,2,3,0,0,26,4,0,14
otu_697479,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,1,0,0,22,0,0,0,0,0,0,0,3,26,0,0,1,0,0,2,0,0,33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
otu_813418,1,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,41,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
otu_544847,2,0,0,2,5,1,0,0,1,0,0,1,0,5,13,1,0,0,0,3,3,139,0,1,2,0,0,320,4,3,47,0,0,10,3,37,95,0,2,1,5,4,2,0,0,0,6,0,0,0,0,2,1,0,0,0,3,7,2,1,1,4,3,0,0,1,0,0,0,2,0,0,62,0,7,1,2,2,0,0,0,1,2,0,1
otu_544841,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,25,0,0,4,0,0,2,0,1,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1
otu_674655,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,19,0,0,0,0,0,52,0,0,10,0,0,3,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,1
