OTU,Total_sample_counts
otu_592628,127
otu_592832,57
otu_589754,71
otu_566062,39
otu_591748,52
otu_571320,343
otu_593997,30
otu_593489,28
otu_1051517,66
otu_833645,32
otu_706432,360
otu_New.0.ReferenceOTU246,78
otu_New.0.ReferenceOTU584,93
otu_New.0.ReferenceOTU782,60
otu_New.0.ReferenceOTU453,520
otu_New.0.ReferenceOTU41,681
otu_New.0.ReferenceOTU325,139
otu_New.0.ReferenceOTU739,135
otu_New.0.ReferenceOTU103,340
otu_New.0.ReferenceOTU111,76
otu_New.0.ReferenceOTU168,29
otu_New.0.CleanUp.ReferenceOTU14180,44
otu_New.0.CleanUp.ReferenceOTU20164,62
otu_New.0.CleanUp.ReferenceOTU139618,171
otu_New.1.ReferenceOTU264,333
