"Pathway"	"Total_sample_counts"
"ko00010"	260922.863708514
"ko00020"	123182.787734488
"ko00030"	186268.768759019
"ko00040"	91186.910966811
"ko00051"	225875.541919192
"ko00052"	149453.46038961
"ko00053"	35211.4787878788
"ko00061"	129690.068686869
"ko00071"	71277.2064935065
"ko00072"	19051.1303030303
"ko00100"	205.25
"ko00120"	4978.17193362193
"ko00121"	5920.42193362193
"ko00130"	77607.0132756133
"ko00140"	4390.14141414141
"ko00190"	243141.171356421
"ko00195"	77933.7397546898
"ko00220"	113513.785353535
"ko00230"	572844.327922078
"ko00232"	172
"ko00240"	427446.631601732
"ko00250"	192920.256493506
"ko00260"	190335.912121212
"ko00261"	49726.1235209235
"ko00270"	218064.649206349
"ko00280"	82194.8922077922
"ko00281"	14719.4982683983
"ko00290"	76728.7591630592
"ko00300"	108452.028427128
"ko00310"	53582.2272727273
"ko00311"	6634.8753968254
"ko00330"	106808.087806638
"ko00332"	17132.3391053391
"ko00333"	35001.6903318903
"ko00340"	67537.0697691198
"ko00350"	47469.8533910534
"ko00360"	47995.9410533911
"ko00361"	7563.88225108225
"ko00362"	44802.6193362193
"ko00363"	172
"ko00364"	3317.49415584416
"ko00380"	50130.2474025974
"ko00400"	157848.452597403
"ko00401"	26693.4805916306
"ko00404"	388.333333333333
"ko00405"	12131.3914862915
"ko00410"	38882.5937229437
"ko00430"	37614.081024531
"ko00440"	8454.37164502165
"ko00450"	85151.1569264069
"ko00460"	41939.4443001443
"ko00471"	37578.5702741703
"ko00472"	1454.98095238095
"ko00473"	27805.7237373737
"ko00480"	94369.5234487734
"ko00500"	237729.903679654
"ko00510"	529.118253968254
"ko00511"	51563.1491341991
"ko00513"	8651.5152958153
"ko00514"	172
"ko00515"	172
"ko00520"	357367.575252525
"ko00521"	49945.343001443
"ko00523"	23713.1483405483
"ko00524"	6423.23253968254
"ko00525"	15013.3184704185
"ko00531"	40182.5142135642
"ko00540"	129965.62994228
"ko00550"	182085.400793651
"ko00561"	101068.231962482
"ko00562"	52842.8337662338
"ko00564"	178751.842279942
"ko00565"	5532.87510822511
"ko00571"	2198.8
"ko00572"	8223.6012987013
"ko00590"	11474.6589466089
"ko00591"	3664.10367965368
"ko00592"	6915.24199134199
"ko00600"	33743.4641414141
"ko00601"	145.6
"ko00603"	17087.4911976912
"ko00604"	8651.5152958153
"ko00620"	289892.113275613
"ko00621"	4227.09494949495
"ko00622"	5171.19018759019
"ko00623"	3775.91558441558
"ko00624"	1332.21796536797
"ko00625"	27138.0213564214
"ko00626"	16862.1737373737
"ko00627"	22941.6692640693
"ko00630"	156493.975974026
"ko00633"	11879.2112554113
"ko00640"	170876.708152958
"ko00642"	4648.51688311688
"ko00643"	9377.48722943723
"ko00650"	156026.104401154
"ko00660"	46490.7007936508
"ko00670"	100790.899350649
"ko00680"	189772.787734488
"ko00710"	121233.304617605
"ko00720"	194137.998701299
"ko00730"	122469.333189033
"ko00740"	66673.8782828283
"ko00750"	42789.4323232323
"ko00760"	121205.044155844
"ko00770"	110055.002741703
"ko00780"	110435.722871573
"ko00785"	12255.6359307359
"ko00790"	181489.512265512
"ko00791"	15664.3142857143
"ko00830"	8276.96796536797
"ko00860"	163846.82020202
"ko00900"	117485.584559885
"ko00901"	34.8571428571429
"ko00903"	14139.6764069264
"ko00906"	3544.69761904762
"ko00908"	8684.58066378066
"ko00909"	33.25
"ko00910"	103788.325108225
"ko00920"	124922.605411255
"ko00930"	9370.5525974026
"ko00940"	13797.397041847
"ko00944"	3295.2
"ko00950"	12322.651010101
"ko00960"	21533.9528138528
"ko00965"	1436
"ko00966"	5721.55288600289
"ko00970"	936635.778571428
"ko00980"	19078.9165945166
"ko00981"	5189.37380952381
"ko00982"	19626.2999278499
"ko00983"	110000.741702742
"ko00984"	4188.4
"ko00999"	12554.6927849928
"ko01040"	36741.7007936508
"ko01051"	14650.6002164502
"ko01053"	13695.7556998557
"ko01054"	1080.96082251082
"ko01055"	9326.71955266955
"ko01057"	86
"ko01059"	86
"ko01062"	1005.89761904762
"ko01100"	4274741.89018759
"ko01110"	1795852.99559885
"ko01120"	1210017.68939394
"ko01130"	1305081.72575758
"ko01200"	664513.034704185
"ko01210"	123748.742135642
"ko01212"	165519.601803752
"ko01220"	40056.1270562771
"ko01230"	797771.806565657
"ko01501"	104873.362770563
"ko01502"	60106.3935064935
"ko01503"	106873.51984127
"ko01523"	39281.8736652237
"ko01524"	22061.2824675325
"ko02010"	932084.973665224
"ko02020"	471682.671212121
"ko02024"	355871.584704185
"ko02025"	76205.8461038961
"ko02026"	133115.321212121
"ko02030"	104695.850721501
"ko02040"	124420.1995671
"ko02060"	230779.55981241
"ko03008"	14816.4851370851
"ko03010"	722489.184632035
"ko03013"	17790.1652958153
"ko03018"	137670.769336219
"ko03020"	36970.6266233766
"ko03022"	172
"ko03030"	152433.931962482
"ko03050"	516
"ko03060"	160157.364646465
"ko03070"	180129.870634921
"ko03320"	22526.6919191919
"ko03410"	94768.8322510822
"ko03420"	85483.2270562771
"ko03430"	194669.464141414
"ko03440"	217366.806926407
"ko03450"	1080.38095238095
"ko04011"	8303.55606060606
"ko04013"	10040.1303751804
"ko04016"	28130.715007215
"ko04024"	172
"ko04066"	25071.0268398268
"ko04068"	18735.3031024531
"ko04070"	24841.5004329004
"ko04071"	172
"ko04072"	8999.04942279942
"ko04080"	3247.31111111111
"ko04112"	105844.077489177
"ko04113"	1619.86666666667
