"Pathway"	"Total_sample_counts"
"ko04914"	4650.11666666667
"ko04915"	4650.11666666667
"ko04916"	51.5416666666667
"ko04917"	467.85
"ko04918"	11668.9166666667
"ko04919"	1087.41666666667
"ko04920"	22204.2416666667
"ko04922"	19089.8666666667
"ko04924"	1582.66666666667
"ko04928"	116.25
"ko04930"	5461.71666666667
"ko04931"	11572.3
"ko04932"	22601.7583333333
"ko04934"	4917.75833333333
"ko04940"	6259.78333333333
"ko04964"	8546
"ko04966"	9.25
"ko04972"	7.16666666666667
"ko04973"	540.5
"ko04974"	2311.66666666667
"ko04976"	26.4166666666667
"ko04978"	4847.03333333333
"ko04979"	2987.25
"ko05010"	29868.95
"ko05012"	22601.7583333333
"ko05014"	18385.6166666667
"ko05016"	34550.5083333333
"ko05020"	4549.25
"ko05030"	1002.125
"ko05031"	1002.125
"ko05034"	1002.125
"ko05100"	10.5
"ko05110"	184.783333333333
"ko05111"	98040.4083333333
"ko05120"	9639.68333333333
"ko05132"	15252.8583333333
"ko05133"	10885.3
"ko05134"	36904.4666666667
"ko05142"	4491.76666666667
"ko05143"	3394.85
"ko05145"	8107.28333333333
"ko05146"	2886.11666666667
"ko05150"	1377.78333333333
"ko05152"	28128.3333333333
"ko05161"	8107.28333333333
"ko05163"	8107.28333333333
"ko05164"	8748.95
"ko05165"	5461.71666666667
"ko05166"	2987.25
"ko05167"	8107.28333333333
"ko05168"	8107.28333333333
"ko05170"	8141.28333333333
"ko05200"	56386.3833333333
"ko05202"	9.625
"ko05203"	5461.71666666667
"ko05204"	43526.4333333333
"ko05205"	5325.88333333333
"ko05206"	5962.875
"ko05210"	8107.28333333333
"ko05211"	4917.75833333333
"ko05215"	4659.74166666667
"ko05219"	3974.71666666667
"ko05222"	8107.28333333333
"ko05225"	38711.225
"ko05230"	23416.3583333333
"ko05231"	4283.7
"ko05340"	5698.56666666667
"ko05410"	1582.66666666667
"ko05416"	8107.28333333333
"ko05418"	58501.8666666667
