"Pathway"	"Total_sample_counts"
"ko00010"	213178.595238095
"ko00020"	149950.1
"ko00030"	134583.117857143
"ko00040"	56417.2880952381
"ko00051"	129983.89047619
"ko00052"	94001.7345238095
"ko00053"	23954.5607142857
"ko00061"	116023.001190476
"ko00071"	103842.448809524
"ko00072"	35011.775
"ko00073"	584
"ko00100"	76.2666666666667
"ko00120"	4079.72142857143
"ko00121"	5182.97142857143
"ko00130"	87174.1488095238
"ko00140"	7202.31428571429
"ko00190"	258419.179761905
"ko00195"	47827.2880952381
"ko00220"	113780.86547619
"ko00230"	486376.532142857
"ko00232"	30
"ko00240"	314172.320238095
"ko00250"	186680.076190476
"ko00260"	193754.872619048
"ko00261"	47228.0369047619
"ko00270"	189422.633333333
"ko00280"	133845.808333333
"ko00281"	31756.869047619
"ko00290"	89775.0630952381
"ko00300"	93203.3119047619
"ko00310"	74456.1154761905
"ko00311"	2849.63333333333
"ko00330"	112560.580952381
"ko00332"	12163.5428571429
"ko00333"	31455.044047619
"ko00340"	86046.1797619048
"ko00350"	73793.9166666667
"ko00360"	73580.4476190476
"ko00361"	20727.8047619048
"ko00362"	108197.098809524
"ko00363"	8
"ko00364"	10957.5619047619
"ko00365"	25.9166666666667
"ko00380"	73113.3357142857
"ko00400"	133264.861904762
"ko00401"	27947.5511904762
"ko00404"	819.333333333333
"ko00405"	10185.4880952381
"ko00410"	53949.8857142857
"ko00430"	46647.9714285714
"ko00440"	14487.2833333333
"ko00450"	79885.605952381
"ko00460"	39156.3071428571
"ko00471"	26728.1035714286
"ko00472"	950.708333333333
"ko00473"	14920.025
"ko00480"	102919.853571429
"ko00500"	123385.76547619
"ko00510"	713.266666666667
"ko00511"	21575.6011904762
"ko00513"	7286.6
"ko00514"	571.333333333333
"ko00515"	571.333333333333
"ko00520"	242230.183333333
"ko00521"	24974.7773809524
"ko00523"	6391.95952380952
"ko00524"	3307.46666666667
"ko00525"	4437.75952380952
"ko00531"	14300.3095238095
"ko00540"	114586.292857143
"ko00550"	119269.480952381
"ko00561"	56498.0345238095
"ko00562"	57180.8166666667
"ko00563"	43
"ko00564"	124492.136904762
"ko00565"	2118.36666666667
"ko00571"	915.333333333333
"ko00572"	5943.64642857143
"ko00590"	7856.85238095238
"ko00591"	1561.36666666667
"ko00592"	12281.2095238095
"ko00600"	13520.3642857143
"ko00603"	11087.1
"ko00604"	7286.6
"ko00620"	260970.621428571
"ko00621"	10779.5
"ko00622"	23154.8702380952
"ko00623"	20373.5630952381
"ko00624"	5086.99285714286
"ko00625"	28597.5654761905
"ko00626"	16382.6452380952
"ko00627"	23272.5464285714
"ko00630"	212039.860714286
"ko00633"	17610.2988095238
"ko00640"	195547.235714286
"ko00642"	10813.7761904762
"ko00643"	12305.6988095238
"ko00650"	181637.260714286
"ko00660"	66010.280952381
"ko00670"	85657.8452380952
"ko00680"	152801.032142857
"ko00710"	93032.1297619048
"ko00720"	197198.471428571
"ko00730"	74110.4011904762
"ko00740"	55663.4178571429
"ko00750"	41853.2380952381
"ko00760"	120317.902380952
"ko00770"	104324.657142857
"ko00780"	85195.4035714286
"ko00785"	14163.05
"ko00790"	153566.170238095
"ko00791"	14552.5333333333
"ko00830"	13398.1666666667
"ko00860"	172562.416666667
"ko00900"	84307.6535714286
"ko00901"	8.55
"ko00903"	21590.9511904762
"ko00906"	4648.75
"ko00908"	5509.87142857143
"ko00910"	115501.555952381
"ko00920"	138783.580952381
"ko00930"	19904.1261904762
"ko00940"	22263.1404761905
"ko00944"	7.8
"ko00950"	14628.6178571429
"ko00960"	24439.2297619048
"ko00965"	3542.4880952381
"ko00966"	6586.1380952381
"ko00970"	637091.03452381
"ko00980"	33645.6857142857
"ko00981"	4819.125
"ko00982"	35929.8190476191
"ko00983"	83099.9571428571
"ko00984"	2576.48571428571
"ko00999"	7190.875
"ko01040"	51943.8964285714
"ko01051"	7874.32142857143
"ko01053"	5856.50952380952
"ko01054"	3218.89761904762
"ko01055"	2358.20714285714
"ko01059"	206.666666666667
"ko01062"	1104.15
"ko01100"	3740381.5547619
"ko01110"	1581129.4
"ko01120"	1231838.875
"ko01130"	1134216.66666667
"ko01200"	631829.067857143
"ko01210"	157336.24047619
"ko01212"	177866.85
"ko01220"	88195.9619047619
"ko01230"	690034.254761905
"ko01501"	104543.670238095
"ko01502"	31874.8119047619
"ko01503"	102765.392857143
"ko01523"	32225.7321428571
"ko01524"	31277.5845238095
"ko02010"	737560.597619048
"ko02020"	601386.873809524
"ko02024"	324854.641666667
"ko02025"	83215.4619047619
"ko02026"	117954.123809524
"ko02030"	150415.811904762
"ko02040"	226220.280952381
"ko02060"	168440.445238095
"ko03008"	12116.8095238095
"ko03010"	430795.325
"ko03013"	12728.830952381
"ko03018"	96721.3369047619
"ko03020"	24123.1523809524
"ko03022"	98
"ko03030"	108322.273809524
"ko03050"	98
"ko03060"	102238.298809524
"ko03070"	146682.933333333
"ko03320"	29493.3523809524
"ko03410"	68238.0607142857
"ko03420"	52140.2107142857
"ko03430"	130991.197619048
